UID,Name,Allele0,Allele1,isSecret,baseChance,conditions
forestry.speciesLeporine,Leporine,forestry.speciesMeadows,forestry.speciesForest,true,10.0,Occurs between March 29 and April 15.
forestry.speciesMerry,Merry,forestry.speciesWintry,forestry.speciesForest,true,10.0,Occurs between December 21 and December 27.
forestry.speciesTipsy,Tipsy,forestry.speciesWintry,forestry.speciesMeadows,true,10.0,Occurs between December 27 and January 2.
forestry.speciesTricky,Tricky,forestry.speciesSinister,forestry.speciesCommon,true,10.0,Occurs between October 15 and November 3.
forestry.speciesRural,Rural,forestry.speciesMeadows,forestry.speciesDiligent,false,12.0,Occurs within a plains biome.
forestry.speciesFarmerly,Farmerly,forestry.speciesRural,forestry.speciesUnweary,false,10.0,Occurs within a plains biome.
forestry.speciesAgrarian,Agrarian,forestry.speciesFarmerly,forestry.speciesIndustrious,false,6.0,Occurs within a plains biome.
forestry.speciesMiry,Miry,forestry.speciesMarshy,forestry.speciesNoble,false,15.0,Requires Warm temperature.|Requires Damp humidity.
forestry.speciesBoggy,Boggy,forestry.speciesMarshy,forestry.speciesMiry,false,9.0,Requires Warm temperature.|Requires Damp humidity.
forestry.speciesSecluded,Secluded,forestry.speciesMonastic,forestry.speciesAustere,false,12.0,
forestry.speciesHermitic,Hermitic,forestry.speciesMonastic,forestry.speciesSecluded,false,8.0,
extrabees.species.arid,Arid,forestry.speciesMeadows,forestry.speciesFrugal,false,10.0,
extrabees.species.arid,Arid,forestry.speciesForest,forestry.speciesFrugal,false,10.0,
extrabees.species.barren,Barren,forestry.speciesCommon,extrabees.species.arid,false,10.0,
extrabees.species.desolate,Desolate,extrabees.species.arid,extrabees.species.barren,false,10.0,
extrabees.species.decomposing,Decomposing,forestry.speciesMarshy,extrabees.species.barren,false,15.0,
extrabees.species.gnawing,Gnawing,forestry.speciesForest,extrabees.species.barren,false,15.0,
extrabees.species.rotten,Decaying,forestry.speciesMeadows,extrabees.species.desolate,false,15.0,
extrabees.species.bone,Skeletal,forestry.speciesForest,extrabees.species.desolate,false,15.0,
extrabees.species.creeper,Creepy,forestry.speciesModest,extrabees.species.desolate,false,15.0,
extrabees.species.stone,Tolerant,forestry.speciesDiligent,extrabees.species.rock,false,12.0,
extrabees.species.granite,Robust,forestry.speciesUnweary,extrabees.species.stone,false,10.0,
extrabees.species.mineral,Resilient,forestry.speciesIndustrious,extrabees.species.granite,false,6.0,
extrabees.species.copper,Corroded,forestry.speciesWintry,extrabees.species.mineral,false,5.0,
extrabees.species.copper,Corroded,forestry.speciesModest,extrabees.species.mineral,false,5.0,
extrabees.species.tin,Tarnished,forestry.speciesMarshy,extrabees.species.mineral,false,5.0,
extrabees.species.tin,Tarnished,forestry.speciesTropical,extrabees.species.mineral,false,5.0,
extrabees.species.iron,Rusty,forestry.speciesMeadows,extrabees.species.mineral,false,5.0,
extrabees.species.iron,Rusty,forestry.speciesForest,extrabees.species.mineral,false,5.0,
extrabees.species.lead,Leaden,forestry.speciesMeadows,extrabees.species.mineral,false,5.0,
extrabees.species.lead,Leaden,forestry.speciesModest,extrabees.species.mineral,false,5.0,
extrabees.species.zinc,Galvanized,forestry.speciesWintry,extrabees.species.mineral,false,5.0,
extrabees.species.zinc,Galvanized,forestry.speciesTropical,extrabees.species.mineral,false,5.0,
extrabees.species.titanium,Impregnable,forestry.speciesCultivated,extrabees.species.mineral,false,3.0,
extrabees.species.tungstate,Invincible,forestry.speciesCommon,extrabees.species.mineral,false,3.0,
extrabees.species.nickel,Lustered,forestry.speciesForest,extrabees.species.mineral,false,5.0,
extrabees.species.nickel,Lustered,forestry.speciesMarshy,extrabees.species.mineral,false,5.0,
extrabees.species.gold,Glittering,forestry.speciesMajestic,extrabees.species.iron,false,2.0,
extrabees.species.gold,Glittering,forestry.speciesMajestic,extrabees.species.copper,false,2.0,
extrabees.species.gold,Glittering,forestry.speciesMajestic,extrabees.species.nickel,false,2.0,
extrabees.species.gold,Glittering,forestry.speciesMajestic,extrabees.species.tungstate,false,2.0,
extrabees.species.silver,Shining,forestry.speciesMajestic,extrabees.species.zinc,false,2.0,
extrabees.species.silver,Shining,forestry.speciesMajestic,extrabees.species.tin,false,2.0,
extrabees.species.silver,Shining,forestry.speciesMajestic,extrabees.species.lead,false,2.0,
extrabees.species.silver,Shining,forestry.speciesMajestic,extrabees.species.titanium,false,2.0,
extrabees.species.platinum,Valuable,extrabees.species.gold,extrabees.species.silver,false,2.0,
extrabees.species.lapis,Lapis,forestry.speciesImperial,extrabees.species.mineral,false,5.0,
extrabees.species.emerald,Emerald,forestry.speciesForest,extrabees.species.lapis,false,5.0,
extrabees.species.ruby,Ruby,forestry.speciesModest,extrabees.species.lapis,false,5.0,
extrabees.species.sapphire,Sapphire,extrabees.species.water,extrabees.species.lapis,false,5.0,
extrabees.species.diamond,Diamond,forestry.speciesCultivated,extrabees.species.lapis,false,5.0,
extrabees.species.unstable,Unstable,extrabees.species.prehistoric,extrabees.species.mineral,false,5.0,
extrabees.species.nuclear,Nuclear,extrabees.species.unstable,extrabees.species.iron,false,5.0,
extrabees.species.nuclear,Nuclear,extrabees.species.unstable,extrabees.species.copper,false,5.0,
extrabees.species.nuclear,Nuclear,extrabees.species.unstable,extrabees.species.tin,false,5.0,
extrabees.species.nuclear,Nuclear,extrabees.species.unstable,extrabees.species.zinc,false,5.0,
extrabees.species.nuclear,Nuclear,extrabees.species.unstable,extrabees.species.nickel,false,5.0,
extrabees.species.nuclear,Nuclear,extrabees.species.unstable,extrabees.species.lead,false,5.0,
extrabees.species.radioactive,Radioactive,extrabees.species.nuclear,extrabees.species.gold,false,5.0,
extrabees.species.radioactive,Radioactive,extrabees.species.nuclear,extrabees.species.silver,false,5.0,
extrabees.species.yellorium,Yellorium,forestry.speciesFrugal,extrabees.species.nuclear,false,5.0,
extrabees.species.cyanite,Cyanite,extrabees.species.nuclear,extrabees.species.yellorium,false,5.0,
extrabees.species.blutonium,Blutonium,extrabees.species.cyanite,extrabees.species.yellorium,false,5.0,
extrabees.species.ancient,Ancient,forestry.speciesNoble,forestry.speciesDiligent,false,10.0,
extrabees.species.primeval,Primeval,forestry.speciesSecluded,extrabees.species.ancient,false,8.0,
extrabees.species.prehistoric,Prehistoric,extrabees.species.primeval,extrabees.species.ancient,false,8.0,
extrabees.species.relic,Relic,forestry.speciesImperial,extrabees.species.prehistoric,false,8.0,
extrabees.species.coal,Fossilised,extrabees.species.primeval,extrabees.species.growing,false,8.0,
extrabees.species.coal,Fossilised,forestry.speciesRural,extrabees.species.primeval,false,8.0,
extrabees.species.resin,Resinous,forestry.speciesMiry,extrabees.species.primeval,false,8.0,
extrabees.species.oil,Oily,extrabees.species.ocean,extrabees.species.primeval,false,8.0,
extrabees.species.oil,Oily,forestry.speciesFrugal,extrabees.species.primeval,false,8.0,
extrabees.species.distilled,Distilled,forestry.speciesIndustrious,extrabees.species.oil,false,8.0,
extrabees.species.fuel,Refined,extrabees.species.distilled,extrabees.species.oil,false,8.0,
extrabees.species.creosote,Tarry,extrabees.species.distilled,extrabees.species.coal,false,8.0,
extrabees.species.latex,Elastic,extrabees.species.distilled,extrabees.species.resin,false,8.0,
extrabees.species.river,River,forestry.speciesDiligent,extrabees.species.water,false,10.0,Occurs within a river biome.
extrabees.species.ocean,Ocean,forestry.speciesDiligent,extrabees.species.water,false,10.0,Occurs within a ocean biome.
extrabees.species.ink,Stained,extrabees.species.black,extrabees.species.ocean,false,8.0,
extrabees.species.growing,Growing,forestry.speciesForest,forestry.speciesDiligent,false,10.0,
extrabees.species.farm,Farmed,forestry.speciesFarmerly,forestry.speciesMeadows,false,10.0,
extrabees.species.thriving,Thriving,forestry.speciesUnweary,extrabees.species.growing,false,10.0,
extrabees.species.blooming,Blooming,forestry.speciesIndustrious,extrabees.species.thriving,false,8.0,
extrabees.species.sweet,Sweetened,forestry.speciesValiant,forestry.speciesDiligent,false,15.0,
extrabees.species.sugar,Sugary,forestry.speciesRural,extrabees.species.sweet,false,15.0,
extrabees.species.ripening,Ripening,extrabees.species.sweet,extrabees.species.growing,false,5.0,
extrabees.species.fruit,Fruity,extrabees.species.sweet,extrabees.species.thriving,false,5.0,
extrabees.species.alcohol,Fermented,forestry.speciesFarmerly,forestry.speciesMeadows,false,10.0,
extrabees.species.milk,Bovine,forestry.speciesFarmerly,extrabees.species.water,false,10.0,
extrabees.species.coffee,Caffeinated,forestry.speciesFarmerly,forestry.speciesTropical,false,10.0,
extrabees.species.swamp,Damp,forestry.speciesMiry,extrabees.species.water,false,10.0,
extrabees.species.boggy,Sodden,forestry.speciesBoggy,extrabees.species.swamp,false,8.0,
extrabees.species.fungal,Fungal,forestry.speciesBoggy,forestry.speciesMiry,false,8.0,
extrabees.species.fungal,Fungal,forestry.speciesBoggy,extrabees.species.fungal,false,8.0,
extrabees.species.tempered,Furious,forestry.speciesFiendish,extrabees.species.basalt,false,30.0,Occurs within a nether biome.
extrabees.species.volcanic,Volcanic,forestry.speciesDemonic,extrabees.species.tempered,false,20.0,Occurs within a nether biome.
extrabees.species.glowstone,Glowering,extrabees.species.tempered,extrabees.species.excited,false,5.0,
extrabees.species.malicious,Malicious,forestry.speciesSinister,forestry.speciesTropical,false,10.0,
extrabees.species.infectious,Infectious,forestry.speciesTropical,extrabees.species.malicious,false,8.0,
extrabees.species.virulent,Virulent,extrabees.species.malicious,extrabees.species.infectious,false,8.0,
extrabees.species.viscous,Viscous,forestry.speciesExotic,extrabees.species.water,false,10.0,
extrabees.species.glutinous,Glutinous,forestry.speciesExotic,extrabees.species.viscous,false,8.0,
extrabees.species.sticky,Sticky,extrabees.species.viscous,extrabees.species.glutinous,false,8.0,
extrabees.species.corrosive,Corrosive,extrabees.species.malicious,extrabees.species.viscous,false,10.0,
extrabees.species.caustic,Caustic,forestry.speciesFiendish,extrabees.species.corrosive,false,8.0,
extrabees.species.acidic,Acidic,extrabees.species.corrosive,extrabees.species.caustic,false,4.0,
extrabees.species.excited,Excited,forestry.speciesValiant,forestry.speciesCultivated,false,10.0,
extrabees.species.energetic,Energetic,forestry.speciesDiligent,extrabees.species.excited,false,8.0,
extrabees.species.ecstatic,Ecstatic,extrabees.species.excited,extrabees.species.energetic,false,8.0,
extrabees.species.artic,Frigid,forestry.speciesWintry,forestry.speciesDiligent,false,10.0,
extrabees.species.freezing,Absolute,extrabees.species.ocean,extrabees.species.artic,false,10.0,
extrabees.species.shadow,Shadowed,forestry.speciesSinister,extrabees.species.rock,false,10.0,
extrabees.species.darkened,Darkened,extrabees.species.shadow,extrabees.species.rock,false,8.0,
extrabees.species.abyss,Abyssal,extrabees.species.shadow,extrabees.species.darkened,false,8.0,
extrabees.species.red,Maroon,forestry.speciesForest,forestry.speciesValiant,false,5.0,
extrabees.species.yellow,Saffron,forestry.speciesMeadows,forestry.speciesValiant,false,5.0,
extrabees.species.blue,Prussian,forestry.speciesValiant,extrabees.species.water,false,5.0,
extrabees.species.green,Natural,forestry.speciesTropical,forestry.speciesValiant,false,5.0,
extrabees.species.black,Ebony,forestry.speciesValiant,extrabees.species.rock,false,5.0,
extrabees.species.white,Bleached,forestry.speciesWintry,forestry.speciesValiant,false,5.0,
extrabees.species.brown,Sepia,forestry.speciesMarshy,forestry.speciesValiant,false,5.0,
extrabees.species.orange,Amber,extrabees.species.red,extrabees.species.yellow,false,5.0,
extrabees.species.cyan,Turquoise,extrabees.species.green,extrabees.species.blue,false,5.0,
extrabees.species.purple,Indigo,extrabees.species.red,extrabees.species.blue,false,5.0,
extrabees.species.gray,Slate,extrabees.species.black,extrabees.species.white,false,5.0,
extrabees.species.lightblue,Azure,extrabees.species.blue,extrabees.species.white,false,5.0,
extrabees.species.pink,Lavender,extrabees.species.red,extrabees.species.white,false,5.0,
extrabees.species.limegreen,Lime,extrabees.species.green,extrabees.species.white,false,5.0,
extrabees.species.magenta,Fuchsia,extrabees.species.purple,extrabees.species.pink,false,5.0,
extrabees.species.lightgray,Ashen,extrabees.species.gray,extrabees.species.white,false,5.0,
extrabees.species.celebratory,Celebratory,forestry.speciesAustere,extrabees.species.excited,false,5.0,
extrabees.species.jaded,Jaded,forestry.speciesEnded,extrabees.species.relic,false,2.0,Inspired by [jadedcat§r]
extrabees.species.chad,Chad,forestry.speciesCultivated,extrabees.species.celebratory,false,5.0,"Occurs between February 29 and February 29.|During the day.|Inspired by |[§4§lR§c§lu§6§ln§e§la§2§lk§a§la§b§li§r, boubou_19§r, Alastors_Game§r, | BlueWeabo§r, Lewis_Saber§r, True_Aurastorm§r, | mitchej123§r, minecraft7771§r, _Timbo§r, | kuba6000§r, Alrightsc§r, YeetYeetDatBoi§r, | DreamMasterXXL§r, Colen§r, OrderedSet§r]"
extrabees.species.hazardous,Hazardous,forestry.speciesAustere,extrabees.species.desolate,false,5.0,
extrabees.species.quantum,Quantum,forestry.speciesSpectral,extrabees.species.spatial,false,5.0,
extrabees.species.unusual,Abnormal,forestry.speciesSecluded,forestry.speciesEnded,false,5.0,
extrabees.species.spatial,Spatial,forestry.speciesHermitic,extrabees.species.unusual,false,5.0,
extrabees.species.mystical,Mystical,forestry.speciesNoble,forestry.speciesMonastic,false,5.0,
forestry.speciesCommon,Common,forestry.speciesForest,extrabees.species.water,false,15.0,
forestry.speciesCommon,Common,forestry.speciesMeadows,extrabees.species.water,false,15.0,
forestry.speciesCommon,Common,forestry.speciesModest,extrabees.species.water,false,15.0,
forestry.speciesCommon,Common,forestry.speciesTropical,extrabees.species.water,false,15.0,
forestry.speciesCommon,Common,forestry.speciesMarshy,extrabees.species.water,false,15.0,
forestry.speciesCommon,Common,forestry.speciesWintry,extrabees.species.water,false,15.0,
forestry.speciesCommon,Common,extrabees.species.rock,extrabees.species.water,false,15.0,
forestry.speciesCommon,Common,extrabees.species.basalt,extrabees.species.water,false,15.0,
forestry.speciesCommon,Common,forestry.speciesForest,extrabees.species.rock,false,15.0,
forestry.speciesCommon,Common,forestry.speciesMeadows,extrabees.species.rock,false,15.0,
forestry.speciesCommon,Common,forestry.speciesModest,extrabees.species.rock,false,15.0,
forestry.speciesCommon,Common,forestry.speciesTropical,extrabees.species.rock,false,15.0,
forestry.speciesCommon,Common,forestry.speciesMarshy,extrabees.species.rock,false,15.0,
forestry.speciesCommon,Common,forestry.speciesWintry,extrabees.species.rock,false,15.0,
forestry.speciesCommon,Common,extrabees.species.basalt,extrabees.species.rock,false,15.0,
forestry.speciesCommon,Common,forestry.speciesForest,extrabees.species.basalt,false,15.0,
forestry.speciesCommon,Common,forestry.speciesMeadows,extrabees.species.basalt,false,15.0,
forestry.speciesCommon,Common,forestry.speciesModest,extrabees.species.basalt,false,15.0,
forestry.speciesCommon,Common,forestry.speciesTropical,extrabees.species.basalt,false,15.0,
forestry.speciesCommon,Common,forestry.speciesMarshy,extrabees.species.basalt,false,15.0,
forestry.speciesCommon,Common,forestry.speciesWintry,extrabees.species.basalt,false,15.0,
forestry.speciesCultivated,Cultivated,forestry.speciesCommon,extrabees.species.water,false,12.0,
forestry.speciesCultivated,Cultivated,forestry.speciesCommon,extrabees.species.rock,false,12.0,
forestry.speciesCultivated,Cultivated,forestry.speciesCommon,extrabees.species.basalt,false,12.0,
forestry.speciesSinister,Sinister,forestry.speciesCultivated,extrabees.species.basalt,false,60.0,Occurs within a nether biome.
forestry.speciesFiendish,Fiendish,forestry.speciesSinister,extrabees.species.basalt,false,40.0,Occurs within a nether biome.
forestry.speciesCommon,Common,magicbees.speciesMystical,forestry.speciesForest,false,15.0,
forestry.speciesCommon,Common,magicbees.speciesMystical,forestry.speciesMeadows,false,15.0,
forestry.speciesCommon,Common,magicbees.speciesMystical,forestry.speciesModest,false,15.0,
forestry.speciesCommon,Common,magicbees.speciesMystical,forestry.speciesWintry,false,15.0,
forestry.speciesCommon,Common,magicbees.speciesMystical,forestry.speciesTropical,false,15.0,
forestry.speciesCommon,Common,magicbees.speciesMystical,forestry.speciesMarshy,false,15.0,
forestry.speciesCommon,Common,magicbees.speciesMystical,extrabees.species.rock,false,15.0,
forestry.speciesCommon,Common,magicbees.speciesMystical,extrabees.species.water,false,15.0,
forestry.speciesCommon,Common,magicbees.speciesMystical,extrabees.species.basalt,false,15.0,
forestry.speciesCultivated,Cultivated,magicbees.speciesMystical,forestry.speciesCommon,false,12.0,
magicbees.speciesEldritch,Eldritch,magicbees.speciesMystical,forestry.speciesCultivated,false,12.0,
forestry.speciesCommon,Common,magicbees.speciesSorcerous,forestry.speciesForest,false,15.0,
forestry.speciesCommon,Common,magicbees.speciesSorcerous,forestry.speciesMeadows,false,15.0,
forestry.speciesCommon,Common,magicbees.speciesSorcerous,forestry.speciesModest,false,15.0,
forestry.speciesCommon,Common,magicbees.speciesSorcerous,forestry.speciesWintry,false,15.0,
forestry.speciesCommon,Common,magicbees.speciesSorcerous,forestry.speciesTropical,false,15.0,
forestry.speciesCommon,Common,magicbees.speciesSorcerous,forestry.speciesMarshy,false,15.0,
forestry.speciesCommon,Common,magicbees.speciesSorcerous,extrabees.species.rock,false,15.0,
forestry.speciesCommon,Common,magicbees.speciesSorcerous,extrabees.species.water,false,15.0,
forestry.speciesCommon,Common,magicbees.speciesSorcerous,extrabees.species.basalt,false,15.0,
forestry.speciesCultivated,Cultivated,magicbees.speciesSorcerous,forestry.speciesCommon,false,12.0,
magicbees.speciesEldritch,Eldritch,magicbees.speciesSorcerous,forestry.speciesCultivated,false,12.0,
forestry.speciesCommon,Common,magicbees.speciesUnusual,forestry.speciesForest,false,15.0,
forestry.speciesCommon,Common,magicbees.speciesUnusual,forestry.speciesMeadows,false,15.0,
forestry.speciesCommon,Common,magicbees.speciesUnusual,forestry.speciesModest,false,15.0,
forestry.speciesCommon,Common,magicbees.speciesUnusual,forestry.speciesWintry,false,15.0,
forestry.speciesCommon,Common,magicbees.speciesUnusual,forestry.speciesTropical,false,15.0,
forestry.speciesCommon,Common,magicbees.speciesUnusual,forestry.speciesMarshy,false,15.0,
forestry.speciesCommon,Common,magicbees.speciesUnusual,extrabees.species.rock,false,15.0,
forestry.speciesCommon,Common,magicbees.speciesUnusual,extrabees.species.water,false,15.0,
forestry.speciesCommon,Common,magicbees.speciesUnusual,extrabees.species.basalt,false,15.0,
forestry.speciesCultivated,Cultivated,magicbees.speciesUnusual,forestry.speciesCommon,false,12.0,
magicbees.speciesEldritch,Eldritch,magicbees.speciesUnusual,forestry.speciesCultivated,false,12.0,
forestry.speciesCommon,Common,magicbees.speciesAttuned,forestry.speciesForest,false,15.0,
forestry.speciesCommon,Common,magicbees.speciesAttuned,forestry.speciesMeadows,false,15.0,
forestry.speciesCommon,Common,magicbees.speciesAttuned,forestry.speciesModest,false,15.0,
forestry.speciesCommon,Common,magicbees.speciesAttuned,forestry.speciesWintry,false,15.0,
forestry.speciesCommon,Common,magicbees.speciesAttuned,forestry.speciesTropical,false,15.0,
forestry.speciesCommon,Common,magicbees.speciesAttuned,forestry.speciesMarshy,false,15.0,
forestry.speciesCommon,Common,magicbees.speciesAttuned,extrabees.species.rock,false,15.0,
forestry.speciesCommon,Common,magicbees.speciesAttuned,extrabees.species.water,false,15.0,
forestry.speciesCommon,Common,magicbees.speciesAttuned,extrabees.species.basalt,false,15.0,
forestry.speciesCultivated,Cultivated,magicbees.speciesAttuned,forestry.speciesCommon,false,12.0,
magicbees.speciesEldritch,Eldritch,magicbees.speciesAttuned,forestry.speciesCultivated,false,12.0,
magicbees.speciesEsoteric,Esoteric,forestry.speciesCultivated,magicbees.speciesEldritch,false,10.0,
magicbees.speciesMysterious,Mysterious,magicbees.speciesEldritch,magicbees.speciesEsoteric,false,8.0,
magicbees.speciesArcane,Arcane,magicbees.speciesEsoteric,magicbees.speciesMysterious,false,8.0,Better success between the Waxing Crescent and Waxing Gibbous.
magicbees.speciesCharmed,Charmed,forestry.speciesCultivated,magicbees.speciesEldritch,false,10.0,
magicbees.speciesEnchanted,Enchanted,magicbees.speciesEldritch,magicbees.speciesCharmed,false,8.0,
magicbees.speciesSupernatural,Supernatural,magicbees.speciesCharmed,magicbees.speciesEnchanted,false,8.0,Better success between the Waning Gibbous and Waning Crescent.
magicbees.speciesEthereal,Ethereal,magicbees.speciesArcane,magicbees.speciesSupernatural,false,7.0,
magicbees.speciesWindy,Windy,magicbees.speciesSupernatural,magicbees.speciesEthereal,false,14.0,Requires Oak Leaves as a foundation.
magicbees.speciesWatery,Watery,magicbees.speciesSupernatural,magicbees.speciesEthereal,false,14.0,Requires Water as a foundation.
magicbees.speciesEarthen,Earthen,magicbees.speciesSupernatural,magicbees.speciesEthereal,false,14.0,Requires Bricks as a foundation.
magicbees.speciesFirey,Firey,magicbees.speciesSupernatural,magicbees.speciesEthereal,false,14.0,Requires Lava as a foundation.
magicbees.speciesAware,Aware,magicbees.speciesEthereal,magicbees.speciesAttuned,false,10.0,
magicbees.speciesSpirit,Spirit,magicbees.speciesEthereal,magicbees.speciesAware,false,8.0,
magicbees.speciesSpirit,Spirit,magicbees.speciesAttuned,magicbees.speciesAware,false,8.0,
magicbees.speciesSoul,Soul,magicbees.speciesAware,magicbees.speciesSpirit,false,7.0,
magicbees.speciesPupil,Pupil,forestry.speciesMonastic,magicbees.speciesArcane,false,10.0,
magicbees.speciesScholarly,Scholarly,magicbees.speciesArcane,magicbees.speciesPupil,false,8.0,
magicbees.speciesSavant,Savant,magicbees.speciesPupil,magicbees.speciesScholarly,false,6.0,
magicbees.speciesTimely,Timely,forestry.speciesImperial,magicbees.speciesEthereal,false,8.0,
magicbees.speciesLordly,Lordly,forestry.speciesImperial,magicbees.speciesTimely,false,8.0,
magicbees.speciesDoctoral,Doctoral,magicbees.speciesTimely,magicbees.speciesLordly,false,7.0,
magicbees.speciesHateful,Hateful,magicbees.speciesInfernal,magicbees.speciesEldritch,false,9.0,Occurs within a nether biome.
magicbees.speciesSpiteful,Spiteful,magicbees.speciesInfernal,magicbees.speciesHateful,false,7.0,Occurs within a nether biome.
magicbees.speciesWithering,Withering,forestry.speciesDemonic,magicbees.speciesSpiteful,false,6.0,Occurs within a nether biome.
magicbees.speciesSkulking,Skulking,forestry.speciesModest,magicbees.speciesEldritch,false,12.0,
magicbees.speciesSpidery,Spidery,forestry.speciesTropical,magicbees.speciesSkulking,false,10.0,
magicbees.speciesGhastly,Ghastly,magicbees.speciesTCBatty,magicbees.speciesEthereal,false,9.0,
magicbees.speciesSmouldering,Smouldering,magicbees.speciesGhastly,magicbees.speciesHateful,false,7.0,Occurs within a nether biome.
magicbees.speciesBigBad,Big Bad,magicbees.speciesSkulking,magicbees.speciesMysterious,false,7.0,During the Full Moon
magicbees.speciesTCChicken,Poultry,forestry.speciesCommon,magicbees.speciesSkulking,false,12.0,Occurs within a forest biome.
magicbees.speciesTCBeef,Beefy,forestry.speciesCommon,magicbees.speciesSkulking,false,12.0,Occurs within a plains biome.
magicbees.speciesTCPork,Porcine,forestry.speciesCommon,magicbees.speciesSkulking,false,12.0,Occurs within a mountain biome.
magicbees.speciesSheepish,Sheepish,magicbees.speciesTCPork,magicbees.speciesSkulking,false,13.0,Occurs within a plains biome.
