Name,ID,Has Block,Mod,Class,Display Name
minecraft:golden_rail,27,true,minecraft,net.minecraft.item.ItemBlock,Booster Track
minecraft:detector_rail,28,true,minecraft,net.minecraft.item.ItemBlock,Detector Track
minecraft:sticky_piston,29,true,minecraft,net.minecraft.item.ItemPiston,Sticky Piston
minecraft:web,30,true,minecraft,net.minecraft.item.ItemBlock,Cobweb
minecraft:tallgrass,31,true,minecraft,net.minecraft.item.ItemColored,Shrub
minecraft:deadbush,32,true,minecraft,net.minecraft.item.ItemBlock,Dead Bush
minecraft:piston,33,true,minecraft,net.minecraft.item.ItemPiston,Piston
minecraft:wool,35,true,minecraft,net.minecraft.item.ItemCloth,Wool
minecraft:yellow_flower,37,true,minecraft,net.minecraft.item.ItemMultiTexture,Dandelion
minecraft:red_flower,38,true,minecraft,net.minecraft.item.ItemMultiTexture,Poppy
minecraft:brown_mushroom,39,true,minecraft,net.minecraft.item.ItemBlock,Mushroom
minecraft:red_mushroom,40,true,minecraft,net.minecraft.item.ItemBlock,Mushroom
minecraft:gold_block,41,true,minecraft,net.minecraft.item.ItemBlock,Block of Gold
minecraft:iron_block,42,true,minecraft,net.minecraft.item.ItemBlock,Block of Iron
minecraft:double_stone_slab,43,true,minecraft,net.minecraft.item.ItemSlab,Stone Slab
minecraft:stone_slab,44,true,minecraft,net.minecraft.item.ItemSlab,Stone Slab
minecraft:brick_block,45,true,minecraft,net.minecraft.item.ItemBlock,Bricks
minecraft:tnt,46,true,minecraft,net.minecraft.item.ItemBlock,TNT
minecraft:bookshelf,47,true,minecraft,net.minecraft.item.ItemBlock,Bookshelf
minecraft:mossy_cobblestone,48,true,minecraft,net.minecraft.item.ItemBlock,Moss Stone
minecraft:obsidian,49,true,minecraft,net.minecraft.item.ItemBlock,Obsidian
minecraft:torch,50,true,minecraft,net.minecraft.item.ItemBlock,Torch
minecraft:fire,51,true,minecraft,net.minecraft.item.ItemBlock,Fire
minecraft:mob_spawner,52,true,minecraft,codechicken.nei.ItemMobSpawner,Monster Spawner
minecraft:oak_stairs,53,true,minecraft,net.minecraft.item.ItemBlock,Oak Wood Stairs
minecraft:chest,54,true,minecraft,net.minecraft.item.ItemBlock,Chest
minecraft:diamond_ore,56,true,minecraft,net.minecraft.item.ItemBlock,Diamond Ore
minecraft:diamond_block,57,true,minecraft,net.minecraft.item.ItemBlock,Block of Diamond
minecraft:crafting_table,58,true,minecraft,net.minecraft.item.ItemBlock,Crafting Table
minecraft:farmland,60,true,minecraft,net.minecraft.item.ItemBlock,Farmland
minecraft:furnace,61,true,minecraft,net.minecraft.item.ItemBlock,Furnace
minecraft:lit_furnace,62,true,minecraft,net.minecraft.item.ItemBlock,Furnace
minecraft:ladder,65,true,minecraft,net.minecraft.item.ItemBlock,Ladder
minecraft:rail,66,true,minecraft,net.minecraft.item.ItemBlock,Track
minecraft:stone_stairs,67,true,minecraft,net.minecraft.item.ItemBlock,Stone Stairs
minecraft:lever,69,true,minecraft,net.minecraft.item.ItemBlock,Lever
minecraft:stone_pressure_plate,70,true,minecraft,net.minecraft.item.ItemBlock,Pressure Plate
minecraft:wooden_pressure_plate,72,true,minecraft,net.minecraft.item.ItemBlock,Pressure Plate
minecraft:redstone_ore,73,true,minecraft,net.minecraft.item.ItemBlock,Redstone Ore
minecraft:redstone_torch,76,true,minecraft,net.minecraft.item.ItemBlock,Redstone Torch
minecraft:stone_button,77,true,minecraft,net.minecraft.item.ItemBlock,Button
minecraft:snow_layer,78,true,minecraft,net.minecraft.item.ItemSnow,Snow
minecraft:ice,79,true,minecraft,net.minecraft.item.ItemBlock,Ice
minecraft:snow,80,true,minecraft,net.minecraft.item.ItemBlock,Snow
minecraft:cactus,81,true,minecraft,net.minecraft.item.ItemBlock,Cactus
minecraft:clay,82,true,minecraft,net.minecraft.item.ItemBlock,Clay
minecraft:jukebox,84,true,minecraft,net.minecraft.item.ItemBlock,Jukebox
minecraft:fence,85,true,minecraft,net.minecraft.item.ItemBlock,Fence
minecraft:pumpkin,86,true,minecraft,net.minecraft.item.ItemBlock,Pumpkin
minecraft:netherrack,87,true,minecraft,net.minecraft.item.ItemBlock,Netherrack
minecraft:soul_sand,88,true,minecraft,net.minecraft.item.ItemBlock,Soul Sand
minecraft:glowstone,89,true,minecraft,net.minecraft.item.ItemBlock,Glowstone
minecraft:portal,90,true,minecraft,net.minecraft.item.ItemBlock,Portal
minecraft:lit_pumpkin,91,true,minecraft,net.minecraft.item.ItemBlock,Jack o'Lantern
minecraft:stained_glass,95,true,minecraft,net.minecraft.item.ItemCloth,White Stained Glass
minecraft:trapdoor,96,true,minecraft,net.minecraft.item.ItemBlock,Trapdoor
minecraft:monster_egg,97,true,minecraft,net.minecraft.item.ItemMultiTexture,Stone Monster Egg
minecraft:stonebrick,98,true,minecraft,net.minecraft.item.ItemMultiTexture,Stone Bricks
minecraft:brown_mushroom_block,99,true,minecraft,net.minecraft.item.ItemBlock,Mushroom
minecraft:red_mushroom_block,100,true,minecraft,net.minecraft.item.ItemBlock,Mushroom
minecraft:iron_bars,101,true,minecraft,net.minecraft.item.ItemBlock,Iron Bars
minecraft:glass_pane,102,true,minecraft,net.minecraft.item.ItemBlock,Glass Pane
minecraft:melon_block,103,true,minecraft,net.minecraft.item.ItemBlock,Melon
minecraft:vine,106,true,minecraft,net.minecraft.item.ItemColored,Vines
minecraft:fence_gate,107,true,minecraft,net.minecraft.item.ItemBlock,Fence Gate
minecraft:brick_stairs,108,true,minecraft,net.minecraft.item.ItemBlock,Brick Stairs
minecraft:stone_brick_stairs,109,true,minecraft,net.minecraft.item.ItemBlock,Stone Brick Stairs
minecraft:mycelium,110,true,minecraft,net.minecraft.item.ItemBlock,Mycelium
minecraft:waterlily,111,true,minecraft,net.minecraft.item.ItemLilyPad,Lily Pad
minecraft:nether_brick,112,true,minecraft,net.minecraft.item.ItemBlock,Nether Brick
minecraft:nether_brick_fence,113,true,minecraft,net.minecraft.item.ItemBlock,Nether Brick Fence
minecraft:nether_brick_stairs,114,true,minecraft,net.minecraft.item.ItemBlock,Nether Brick Stairs
minecraft:enchanting_table,116,true,minecraft,net.minecraft.item.ItemBlock,Enchantment Table
minecraft:end_portal,119,true,minecraft,net.minecraft.item.ItemBlock,"Unnamed Block, report to mod author."
minecraft:end_portal_frame,120,true,minecraft,net.minecraft.item.ItemBlock,End Portal
minecraft:end_stone,121,true,minecraft,net.minecraft.item.ItemBlock,End Stone
minecraft:dragon_egg,122,true,minecraft,net.minecraft.item.ItemBlock,Dragon Egg
minecraft:redstone_lamp,123,true,minecraft,net.minecraft.item.ItemBlock,Redstone Lamp
minecraft:double_wooden_slab,125,true,minecraft,net.minecraft.item.ItemSlab,Oak Wood Slab
minecraft:wooden_slab,126,true,minecraft,net.minecraft.item.ItemSlab,Oak Wood Slab
minecraft:cocoa,127,true,minecraft,net.minecraft.item.ItemBlock,Cocoa
minecraft:sandstone_stairs,128,true,minecraft,net.minecraft.item.ItemBlock,Sandstone Stairs
minecraft:emerald_ore,129,true,minecraft,net.minecraft.item.ItemBlock,Emerald Ore
minecraft:ender_chest,130,true,minecraft,net.minecraft.item.ItemBlock,Ender Chest
minecraft:tripwire_hook,131,true,minecraft,net.minecraft.item.ItemBlock,Tripwire Hook
minecraft:emerald_block,133,true,minecraft,net.minecraft.item.ItemBlock,Block of Emerald
minecraft:spruce_stairs,134,true,minecraft,net.minecraft.item.ItemBlock,Spruce Wood Stairs
minecraft:birch_stairs,135,true,minecraft,net.minecraft.item.ItemBlock,Birch Wood Stairs
minecraft:jungle_stairs,136,true,minecraft,net.minecraft.item.ItemBlock,Jungle Wood Stairs
minecraft:command_block,137,true,minecraft,net.minecraft.item.ItemBlock,Command Block
minecraft:beacon,138,true,minecraft,net.minecraft.item.ItemBlock,Beacon
minecraft:cobblestone_wall,139,true,minecraft,net.minecraft.item.ItemMultiTexture,Cobblestone Wall
minecraft:carrots,141,true,minecraft,net.minecraft.item.ItemBlock,Carrots
minecraft:potatoes,142,true,minecraft,net.minecraft.item.ItemBlock,Potatoes
minecraft:wooden_button,143,true,minecraft,net.minecraft.item.ItemBlock,Button
minecraft:anvil,145,true,minecraft,net.minecraft.item.ItemAnvilBlock,Anvil
minecraft:trapped_chest,146,true,minecraft,net.minecraft.item.ItemBlock,Trapped Chest
minecraft:light_weighted_pressure_plate,147,true,minecraft,net.minecraft.item.ItemBlock,Weighted Pressure Plate (Light)
minecraft:heavy_weighted_pressure_plate,148,true,minecraft,net.minecraft.item.ItemBlock,Weighted Pressure Plate (Heavy)
minecraft:daylight_detector,151,true,minecraft,net.minecraft.item.ItemBlock,Daylight Sensor
minecraft:redstone_block,152,true,minecraft,net.minecraft.item.ItemBlock,Block of Redstone
minecraft:quartz_ore,153,true,minecraft,net.minecraft.item.ItemBlock,Nether Quartz Ore
minecraft:hopper,154,true,minecraft,net.minecraft.item.ItemBlock,Hopper
minecraft:quartz_block,155,true,minecraft,net.minecraft.item.ItemMultiTexture,Block of Quartz
minecraft:quartz_stairs,156,true,minecraft,net.minecraft.item.ItemBlock,Quartz Stairs
minecraft:activator_rail,157,true,minecraft,net.minecraft.item.ItemBlock,Activator Track
minecraft:dropper,158,true,minecraft,net.minecraft.item.ItemBlock,Dropper
minecraft:stained_hardened_clay,159,true,minecraft,net.minecraft.item.ItemCloth,White Stained Clay
minecraft:stained_glass_pane,160,true,minecraft,net.minecraft.item.ItemCloth,White Stained Glass Pane
minecraft:leaves2,161,true,minecraft,net.minecraft.item.ItemLeaves,Acacia Leaves
minecraft:log2,162,true,minecraft,net.minecraft.item.ItemMultiTexture,Acacia Wood
minecraft:acacia_stairs,163,true,minecraft,net.minecraft.item.ItemBlock,Acacia Wood Stairs
minecraft:dark_oak_stairs,164,true,minecraft,net.minecraft.item.ItemBlock,Dark Oak Wood Stairs
divinerpg:rupeeOre,165,true,divinerpg,net.minecraft.item.ItemBlock,Rupee Ore
divinerpg:arlemiteOre,166,true,divinerpg,net.minecraft.item.ItemBlock,Arlemite Ore
divinerpg:realmiteOre,167,true,divinerpg,net.minecraft.item.ItemBlock,Realmite Ore
divinerpg:bloodgemOre,168,true,divinerpg,net.minecraft.item.ItemBlock,Bloodgem Ore
divinerpg:netheriteOre,169,true,divinerpg,net.minecraft.item.ItemBlock,Netherite Ore
minecraft:hay_block,170,true,minecraft,net.minecraft.item.ItemBlock,Hay Bale
minecraft:carpet,171,true,minecraft,net.minecraft.item.ItemCloth,Carpet
minecraft:hardened_clay,172,true,minecraft,net.minecraft.item.ItemBlock,Hardened Clay
minecraft:coal_block,173,true,minecraft,net.minecraft.item.ItemBlock,Block of Coal
minecraft:packed_ice,174,true,minecraft,net.minecraft.item.ItemBlock,Packed Ice
minecraft:double_plant,175,true,minecraft,net.minecraft.item.ItemDoublePlant,Sunflower
divinerpg:rupeeBlock,176,true,divinerpg,net.minecraft.item.ItemBlock,Rupee Block
divinerpg:arlemiteBlock,177,true,divinerpg,net.minecraft.item.ItemBlock,Arlemite Block
divinerpg:realmiteBlock,178,true,divinerpg,net.minecraft.item.ItemBlock,Realmite Block
divinerpg:bloodgemBlock,179,true,divinerpg,net.minecraft.item.ItemBlock,Bloodgem Block
divinerpg:netheriteBlock,180,true,divinerpg,net.minecraft.item.ItemBlock,Netherite Block
divinerpg:spiderPumpkin,181,true,divinerpg,net.minecraft.item.ItemBlock,Spider Pumpkin
divinerpg:enderPumpkin,182,true,divinerpg,net.minecraft.item.ItemBlock,Ender Pumpkin
divinerpg:creeperPumpkin,183,true,divinerpg,net.minecraft.item.ItemBlock,Creeper Pumpkin
divinerpg:skeletonPumpkin,184,true,divinerpg,net.minecraft.item.ItemBlock,Skeleton Pumpkin
divinerpg:blazePumpkin,185,true,divinerpg,net.minecraft.item.ItemBlock,Blaze Pumpkin
divinerpg:zombiePumpkin,186,true,divinerpg,net.minecraft.item.ItemBlock,Zombie Pumpkin
divinerpg:frostPumpkin,187,true,divinerpg,net.minecraft.item.ItemBlock,Frost Pumpkin
divinerpg:cyclopsPumpkin,188,true,divinerpg,net.minecraft.item.ItemBlock,Cyclops Pumpkin
divinerpg:ghastPumpkin,189,true,divinerpg,net.minecraft.item.ItemBlock,Ghast Pumpkin
divinerpg:glaconPumpkin,190,true,divinerpg,net.minecraft.item.ItemBlock,Glacon Pumpkin
divinerpg:enderWatcherPumpkin,191,true,divinerpg,net.minecraft.item.ItemBlock,Ender Watcher Pumpkin
divinerpg:jungleSpiderPumpkin,192,true,divinerpg,net.minecraft.item.ItemBlock,Jungle Spider Pumpkin
divinerpg:hellspiderPumpkin,193,true,divinerpg,net.minecraft.item.ItemBlock,Hellspider Pumpkin
divinerpg:aquaTorch,194,true,divinerpg,net.minecraft.item.ItemBlock,Aqua Torch
divinerpg:skeletonTorch,195,true,divinerpg,net.minecraft.item.ItemBlock,Skeleton Torch
divinerpg:checker,196,true,divinerpg,net.minecraft.item.ItemBlock,Checker
divinerpg:rainbowWool,197,true,divinerpg,net.minecraft.item.ItemBlock,Rainbow Wool
divinerpg:crate,198,true,divinerpg,net.minecraft.item.ItemBlock,Crate
divinerpg:plankDesign,199,true,divinerpg,net.minecraft.item.ItemBlock,Plank Design
divinerpg:blueStone,200,true,divinerpg,net.minecraft.item.ItemBlock,Blue Stone
divinerpg:blueVane,201,true,divinerpg,net.minecraft.item.ItemBlock,Blue Vane
divinerpg:cyanVane,202,true,divinerpg,net.minecraft.item.ItemBlock,Cyan Vane
divinerpg:purpleVane,203,true,divinerpg,net.minecraft.item.ItemBlock,Purple Vane
divinerpg:redVane,204,true,divinerpg,net.minecraft.item.ItemBlock,Red Vane
divinerpg:yellowVane,205,true,divinerpg,net.minecraft.item.ItemBlock,Yellow Vane
divinerpg:divineRock,206,true,divinerpg,net.minecraft.item.ItemBlock,Divine Rock
divinerpg:Tar,207,true,divinerpg,net.minecraft.item.ItemBlock,Tar
divinerpg:fancyWool,208,true,divinerpg,net.minecraft.item.ItemBlock,Fancy Wool
divinerpg:steel,209,true,divinerpg,net.divinerpg.blocks.vanilla.DivineMetaItemBlock,Teal Steel
divinerpg:Bricks,210,true,divinerpg,net.divinerpg.blocks.vanilla.DivineMetaItemBlock,Aquatonic Bricks
divinerpg:Minibricks,211,true,divinerpg,net.divinerpg.blocks.vanilla.DivineMetaItemBlock,Rupee Minibricks
divinerpg:lamp1,212,true,divinerpg,net.divinerpg.blocks.vanilla.DivineMetaItemBlock,Aqua Lamp
divinerpg:lamp2,213,true,divinerpg,net.divinerpg.blocks.vanilla.DivineMetaItemBlock,Ice Lamp
divinerpg:milkStone,214,true,divinerpg,net.minecraft.item.ItemBlock,Milk Stone
divinerpg:darkstone,215,true,divinerpg,net.minecraft.item.ItemBlock,Darkstone
divinerpg:spikeBlock,216,true,divinerpg,net.minecraft.item.ItemBlock,Spike Block
divinerpg:hotSpikeBlock,217,true,divinerpg,net.minecraft.item.ItemBlock,Hot Spike Block
divinerpg:slimeLight,218,true,divinerpg,net.minecraft.item.ItemBlock,Slime Light
divinerpg:slimeLightOn,219,true,divinerpg,net.minecraft.item.ItemBlock,Slime Light
divinerpg:darkBridge,220,true,divinerpg,net.minecraft.item.ItemBlock,Dark Bridge
divinerpg:darkBridgeOn,221,true,divinerpg,net.minecraft.item.ItemBlock,Dark Bridge
divinerpg:blueFence,222,true,divinerpg,net.minecraft.item.ItemBlock,Blue Fence
divinerpg:redFence,223,true,divinerpg,net.minecraft.item.ItemBlock,Red Fence
divinerpg:greenFence,224,true,divinerpg,net.minecraft.item.ItemBlock,Green Fence
divinerpg:blueFenceOn,225,true,divinerpg,net.minecraft.item.ItemBlock,Blue Fence On
divinerpg:redFenceOn,226,true,divinerpg,net.minecraft.item.ItemBlock,Red Fence On
divinerpg:greenFenceOn,227,true,divinerpg,net.minecraft.item.ItemBlock,Green Fence On
divinerpg:ayeracoBeamBlue,228,true,divinerpg,net.minecraft.item.ItemBlock,tile.ayeracoBeamBlue.name
divinerpg:ayeracoBeamGreen,229,true,divinerpg,net.minecraft.item.ItemBlock,tile.ayeracoBeamGreen.name
divinerpg:ayeracoBeamRed,230,true,divinerpg,net.minecraft.item.ItemBlock,tile.ayeracoBeamRed.name
divinerpg:ayeracoBeamYellow,231,true,divinerpg,net.minecraft.item.ItemBlock,tile.ayeracoBeamYellow.name
divinerpg:ayeracoBeamPurple,232,true,divinerpg,net.minecraft.item.ItemBlock,tile.ayeracoBeamPurple.name
divinerpg:ayeracoSpawn,233,true,divinerpg,net.minecraft.item.ItemBlock,Ayeraco Spawn
divinerpg:kingOfScorchersStatue,234,true,divinerpg,net.minecraft.item.ItemBlock,King of Scorchers Statue
divinerpg:ancientEntityStatue,235,true,divinerpg,net.minecraft.item.ItemBlock,Ancient Entity Statue
divinerpg:ayeracoStatue,236,true,divinerpg,net.minecraft.item.ItemBlock,Ayeraco Statue
divinerpg:twilightDemonStatue,237,true,divinerpg,net.minecraft.item.ItemBlock,Twilight Demon Statue
divinerpg:vamacheronStatue,238,true,divinerpg,net.minecraft.item.ItemBlock,Vamacheron Statue
divinerpg:densosStatue,239,true,divinerpg,net.minecraft.item.ItemBlock,Densos Statue
divinerpg:reyvorStatue,240,true,divinerpg,net.minecraft.item.ItemBlock,Reyvor Statue
divinerpg:dramixStatue,241,true,divinerpg,net.minecraft.item.ItemBlock,Dramix Statue
divinerpg:soulFiendStatue,242,true,divinerpg,net.minecraft.item.ItemBlock,Soul Fiend Statue
divinerpg:watcherStatue,243,true,divinerpg,net.minecraft.item.ItemBlock,Watcher Statue
divinerpg:eternalArcherStatue,244,true,divinerpg,net.minecraft.item.ItemBlock,Eternal Archer Statue
divinerpg:karotStatue,245,true,divinerpg,net.minecraft.item.ItemBlock,Karot Statue
divinerpg:tomatoPlant,246,true,divinerpg,net.minecraft.item.ItemBlock,Tomato Plant
divinerpg:mushroomPlant,247,true,divinerpg,net.minecraft.item.ItemBlock,Mushroom Plant
divinerpg:divineLog,248,true,divinerpg,net.minecraft.item.ItemBlock,Divine Log
divinerpg:divineLeaves,249,true,divinerpg,net.minecraft.item.ItemBlock,Divine Leaves
divinerpg:divineMossStone,250,true,divinerpg,net.minecraft.item.ItemBlock,Divine Moss Stone
divinerpg:enthralledDramcryxSpawner,251,true,divinerpg,net.minecraft.item.ItemBlock,Enthralled Dramcryx Spawner
divinerpg:rotatickSpawner,252,true,divinerpg,net.minecraft.item.ItemBlock,Rotatick Spawner
divinerpg:divinePlanks,253,true,divinerpg,net.minecraft.item.ItemBlock,Divine Planks
divinerpg:divineStairs,254,true,divinerpg,net.minecraft.item.ItemBlock,Divine Stairs
divinerpg:altarOfCorruption,255,true,divinerpg,net.minecraft.item.ItemBlock,Altar of Corruption
minecraft:iron_shovel,256,false,minecraft,net.minecraft.item.ItemSpade,Iron Shovel
minecraft:iron_pickaxe,257,false,minecraft,net.minecraft.item.ItemPickaxe,Iron Pickaxe
minecraft:iron_axe,258,false,minecraft,net.minecraft.item.ItemAxe,Iron Axe
minecraft:flint_and_steel,259,false,minecraft,net.minecraft.item.ItemFlintAndSteel,Flint and Steel
minecraft:apple,260,false,minecraft,net.minecraft.item.ItemFood,Apple
minecraft:bow,261,false,minecraft,net.minecraft.item.ItemBow,Bow
minecraft:arrow,262,false,minecraft,net.minecraft.item.Item,Arrow
minecraft:coal,263,false,minecraft,net.minecraft.item.ItemCoal,Coal
minecraft:diamond,264,false,minecraft,net.minecraft.item.Item,Diamond
minecraft:iron_ingot,265,false,minecraft,net.minecraft.item.Item,Iron Ingot
minecraft:gold_ingot,266,false,minecraft,net.minecraft.item.Item,Gold Ingot
minecraft:iron_sword,267,false,minecraft,net.minecraft.item.ItemSword,Iron Sword
minecraft:wooden_sword,268,false,minecraft,net.minecraft.item.ItemSword,Wooden Sword
minecraft:wooden_shovel,269,false,minecraft,net.minecraft.item.ItemSpade,Wooden Shovel
minecraft:wooden_pickaxe,270,false,minecraft,net.minecraft.item.ItemPickaxe,Wooden Pickaxe
minecraft:wooden_axe,271,false,minecraft,net.minecraft.item.ItemAxe,Wooden Axe
minecraft:stone_sword,272,false,minecraft,net.minecraft.item.ItemSword,Stone Sword
minecraft:stone_shovel,273,false,minecraft,net.minecraft.item.ItemSpade,Stone Shovel
minecraft:stone_pickaxe,274,false,minecraft,net.minecraft.item.ItemPickaxe,Stone Pickaxe
minecraft:stone_axe,275,false,minecraft,net.minecraft.item.ItemAxe,Stone Axe
minecraft:diamond_sword,276,false,minecraft,net.minecraft.item.ItemSword,Diamond Sword
minecraft:diamond_shovel,277,false,minecraft,net.minecraft.item.ItemSpade,Diamond Shovel
minecraft:diamond_pickaxe,278,false,minecraft,net.minecraft.item.ItemPickaxe,Diamond Pickaxe
minecraft:diamond_axe,279,false,minecraft,net.minecraft.item.ItemAxe,Diamond Axe
minecraft:stick,280,false,minecraft,net.minecraft.item.Item,Stick
minecraft:bowl,281,false,minecraft,net.minecraft.item.Item,Bowl
minecraft:mushroom_stew,282,false,minecraft,net.minecraft.item.ItemSoup,Mushroom Stew
minecraft:golden_sword,283,false,minecraft,net.minecraft.item.ItemSword,Golden Sword
minecraft:golden_shovel,284,false,minecraft,net.minecraft.item.ItemSpade,Golden Shovel
minecraft:golden_pickaxe,285,false,minecraft,net.minecraft.item.ItemPickaxe,Golden Pickaxe
minecraft:golden_axe,286,false,minecraft,net.minecraft.item.ItemAxe,Golden Axe
minecraft:string,287,false,minecraft,net.minecraft.item.ItemReed,String
minecraft:feather,288,false,minecraft,net.minecraft.item.Item,Feather
minecraft:gunpowder,289,false,minecraft,net.minecraft.item.Item,Gunpowder
minecraft:wooden_hoe,290,false,minecraft,net.minecraft.item.ItemHoe,Wooden Hoe
minecraft:stone_hoe,291,false,minecraft,net.minecraft.item.ItemHoe,Stone Hoe
minecraft:iron_hoe,292,false,minecraft,net.minecraft.item.ItemHoe,Iron Hoe
minecraft:diamond_hoe,293,false,minecraft,net.minecraft.item.ItemHoe,Diamond Hoe
minecraft:golden_hoe,294,false,minecraft,net.minecraft.item.ItemHoe,Golden Hoe
minecraft:wheat_seeds,295,false,minecraft,net.minecraft.item.ItemSeeds,Seeds
minecraft:wheat,296,false,minecraft,net.minecraft.item.Item,Wheat
minecraft:bread,297,false,minecraft,net.minecraft.item.ItemFood,Bread
minecraft:leather_helmet,298,false,minecraft,net.minecraft.item.ItemArmor,Leather Cap
minecraft:leather_chestplate,299,false,minecraft,net.minecraft.item.ItemArmor,Leather Tunic
minecraft:leather_leggings,300,false,minecraft,net.minecraft.item.ItemArmor,Leather Pants
minecraft:leather_boots,301,false,minecraft,net.minecraft.item.ItemArmor,Leather Boots
minecraft:chainmail_helmet,302,false,minecraft,net.minecraft.item.ItemArmor,Chain Helmet
minecraft:chainmail_chestplate,303,false,minecraft,net.minecraft.item.ItemArmor,Chain Chestplate
minecraft:chainmail_leggings,304,false,minecraft,net.minecraft.item.ItemArmor,Chain Leggings
minecraft:chainmail_boots,305,false,minecraft,net.minecraft.item.ItemArmor,Chain Boots
minecraft:iron_helmet,306,false,minecraft,net.minecraft.item.ItemArmor,Iron Helmet
minecraft:iron_chestplate,307,false,minecraft,net.minecraft.item.ItemArmor,Iron Chestplate
minecraft:iron_leggings,308,false,minecraft,net.minecraft.item.ItemArmor,Iron Leggings
minecraft:iron_boots,309,false,minecraft,net.minecraft.item.ItemArmor,Iron Boots
minecraft:diamond_helmet,310,false,minecraft,net.minecraft.item.ItemArmor,Diamond Helmet
minecraft:diamond_chestplate,311,false,minecraft,net.minecraft.item.ItemArmor,Diamond Chestplate
minecraft:diamond_leggings,312,false,minecraft,net.minecraft.item.ItemArmor,Diamond Leggings
minecraft:diamond_boots,313,false,minecraft,net.minecraft.item.ItemArmor,Diamond Boots
minecraft:golden_helmet,314,false,minecraft,net.minecraft.item.ItemArmor,Golden Helmet
minecraft:golden_chestplate,315,false,minecraft,net.minecraft.item.ItemArmor,Golden Chestplate
minecraft:golden_leggings,316,false,minecraft,net.minecraft.item.ItemArmor,Golden Leggings
minecraft:golden_boots,317,false,minecraft,net.minecraft.item.ItemArmor,Golden Boots
minecraft:flint,318,false,minecraft,net.minecraft.item.Item,Flint
minecraft:porkchop,319,false,minecraft,net.minecraft.item.ItemFood,Raw Porkchop
minecraft:cooked_porkchop,320,false,minecraft,net.minecraft.item.ItemFood,Cooked Porkchop
minecraft:painting,321,false,minecraft,net.minecraft.item.ItemHangingEntity,Painting
minecraft:golden_apple,322,false,minecraft,net.minecraft.item.ItemAppleGold,Golden Apple
minecraft:sign,323,false,minecraft,net.minecraft.item.ItemSign,Sign
minecraft:wooden_door,324,false,minecraft,net.minecraft.item.ItemDoor,Wooden Door
minecraft:bucket,325,false,minecraft,net.minecraft.item.ItemBucket,Bucket
minecraft:water_bucket,326,false,minecraft,net.minecraft.item.ItemBucket,Water Bucket
minecraft:lava_bucket,327,false,minecraft,net.minecraft.item.ItemBucket,Lava Bucket
minecraft:minecart,328,false,minecraft,net.minecraft.item.ItemMinecart,Minecart
minecraft:saddle,329,false,minecraft,net.minecraft.item.ItemSaddle,Saddle
minecraft:iron_door,330,false,minecraft,net.minecraft.item.ItemDoor,Iron Door
minecraft:redstone,331,false,minecraft,net.minecraft.item.ItemRedstone,Redstone
minecraft:snowball,332,false,minecraft,net.minecraft.item.ItemSnowball,Snowball
minecraft:boat,333,false,minecraft,net.minecraft.item.ItemBoat,Boat
minecraft:leather,334,false,minecraft,net.minecraft.item.Item,Leather
minecraft:milk_bucket,335,false,minecraft,null,Milk Bucket
minecraft:brick,336,false,minecraft,net.minecraft.item.Item,Brick
minecraft:clay_ball,337,false,minecraft,net.minecraft.item.Item,Clay
