ID,Name,Temperature,Rainfall,Spawn Chance,Root Height,Height Variation,Types,Class
111,Mangrove,0.8,0.9,0.1,0.0,0.2,"WET, LUSH, OCEAN, RIVER, FOREST",biomesoplenty.common.biome.overworld.sub.BiomeGenMangrove
112,Alps Forest,0.0,0.5,0.1,0.6,0.8,"COLD, FOREST, MOUNTAIN, SNOWY",biomesoplenty.common.biome.overworld.sub.BiomeGenAlpsForest
113,Canyon Ravine,1.0,0.3,0.1,-0.1,0.4,"HOT, DRY, HILLS, SANDY",biomesoplenty.common.biome.overworld.sub.BiomeGenCanyonRavine
114,Glacier,0.0,0.2,0.1,1.5,0.025,"COLD, DEAD, HILLS, SNOWY",biomesoplenty.common.biome.overworld.sub.BiomeGenGlacier
115,Land of Lakes Marsh,0.5,0.9,0.1,-0.1,0.05,"WET, SWAMP",biomesoplenty.common.biome.overworld.sub.BiomeGenLandOfLakesMarsh
116,Meadow Forest,0.7,0.7,0.1,0.1,0.2,"LUSH, FOREST, PLAINS",biomesoplenty.common.biome.overworld.sub.BiomeGenMeadowForest
117,Oasis,2.0,0.3,0.1,-0.2,0.0,"HOT, DRY, JUNGLE, LUSH, SANDY",biomesoplenty.common.biome.overworld.sub.BiomeGenOasis
118,Quagmire,0.8,0.9,0.1,0.0,0.1,"WET, SPOOKY, DEAD, SWAMP, WASTELAND",biomesoplenty.common.biome.overworld.sub.BiomeGenQuagmire
119,Scrubland,1.2,0.0,0.1,0.125,0.05,"HOT, SPARSE, DRY, SAVANNA, PLAINS",biomesoplenty.common.biome.overworld.sub.BiomeGenScrubland
120,Seasonal Forest Clearing,0.5,0.8,0.1,0.1,0.2,PLAINS,biomesoplenty.common.biome.overworld.sub.BiomeGenSeasonalForestClearing
121,Silkglades,0.5,0.9,0.1,0.1,0.2,"SPOOKY, DEAD, FOREST, SWAMP",biomesoplenty.common.biome.overworld.sub.BiomeGenSilkglades
122,Spruce Woods,0.7,0.8,0.1,0.1,0.2,"DENSE, CONIFEROUS, LUSH, FOREST",biomesoplenty.common.biome.overworld.sub.BiomeGenSpruceWoods
123,Corrupted Sands,2.0,0.0,0.1,0.1,0.2,"SPOOKY, NETHER, SANDY",biomesoplenty.common.biome.nether.BiomeGenCorruptedSands
124,Phantasmagoric Inferno,2.0,0.0,0.1,0.1,0.2,"SPOOKY, NETHER",biomesoplenty.common.biome.nether.BiomeGenPhantasmagoricInferno
125,Boneyard,2.0,0.0,0.1,0.1,0.2,"SPOOKY, NETHER, WASTELAND",biomesoplenty.common.biome.nether.BiomeGenBoneyard
126,Visceral Heap,2.0,0.0,0.1,0.1,0.2,"SPOOKY, NETHER",biomesoplenty.common.biome.nether.BiomeGenVisceralHeap
127,Undergarden,2.0,0.0,0.1,0.1,0.2,"JUNGLE, SPOOKY, NETHER",biomesoplenty.common.biome.nether.BiomeGenUndergarden
128,Polar Chasm,2.0,0.0,0.1,0.1,0.2,"HOT, DRY, SAVANNA, PLAINS",biomesoplenty.common.biome.nether.BiomeGenPolarChasm
129,Sunflower Plains,0.8,0.4,0.1,0.125,0.05,PLAINS,net.minecraft.world.biome.BiomeGenPlains
130,Desert M,2.0,0.0,0.1,0.225,0.25,"HOT, DRY, PLAINS, SANDY",net.minecraft.world.biome.BiomeGenMutated
131,Extreme Hills M,0.2,0.3,0.1,1.0,0.5,HILLS,net.minecraft.world.biome.BiomeGenHills
132,Flower Forest,0.7,0.8,0.1,0.1,0.4,"FOREST, HILLS",net.minecraft.world.biome.BiomeGenForest
133,Taiga M,0.25,0.8,0.1,0.3,0.4,HILLS,net.minecraft.world.biome.BiomeGenMutated
134,Swampland M,0.8,0.9,0.1,-0.1,0.3,"WET, SWAMP",net.minecraft.world.biome.BiomeGenMutated
135,Spectral Garden,2.0,0.0,0.1,0.1,0.2,"HOT, DRY, SAVANNA, PLAINS",biomesoplenty.common.biome.end.BiomeGenSpectralGarden
136,Lush River,0.7,0.8,0.1,-0.5,0.0,"RIVER, PLAINS",biomesoplenty.common.biome.overworld.tech.BiomeGenLushRiver
137,Dry River,1.0,0.0,0.1,-0.2,0.0,"HOT, DRY, PLAINS, SANDY",biomesoplenty.common.biome.overworld.tech.BiomeGenDryRiver
138,Desert Oil Field,2.0,0.0,0.1,0.1,0.2,SANDY,buildcraft.energy.worldgen.BiomeGenOilDesert
139,Ocean Oil Field,0.5,0.5,0.1,-1.0,0.1,"OCEAN, RIVER",buildcraft.energy.worldgen.BiomeGenOilOcean
140,Ice Plains Spikes,0.0,0.5,0.1,0.425,0.45000002,"COLD, HILLS, SNOWY",net.minecraft.world.biome.BiomeGenSnow
141,Twilight Lake,0.66,1.0,0.12,-1.8,0.1,"DENSE, WET, OCEAN, SWAMP",twilightforest.biomes.TFBiomeTwilightLake
142,Twilight Forest,0.5,0.5,0.12,0.1,0.2,"DENSE, FOREST",twilightforest.biomes.TFBiomeTwilightForest
143,Dense Twilight Forest,0.7,0.8,0.12,0.2,0.2,"DENSE, FOREST",twilightforest.biomes.TFBiomeTwilightForestVariant
144,Twilight Highlands,0.4,0.7,0.12,3.5,0.05,"DENSE, CONIFEROUS, FOREST, MOUNTAIN",twilightforest.biomes.TFBiomeHighlands
145,Mushroom Forest,0.8,0.8,0.12,0.1,0.2,"MUSHROOM, FOREST",twilightforest.biomes.TFBiomeMushrooms
146,Twilight Swamp,0.8,0.9,0.12,-0.125,0.125,"SPARSE, WET, SWAMP",twilightforest.biomes.TFBiomeSwamp
147,Twilight Stream,0.5,1.0,0.12,-0.5,0.0,"DENSE, WET, RIVER, SWAMP",twilightforest.biomes.TFBiomeStream
148,Snowy Forest,0.125,0.9,0.12,0.2,0.2,"COLD, WET, CONIFEROUS, FOREST, SNOWY",twilightforest.biomes.TFBiomeSnow
149,Jungle M,0.95,0.9,0.1,0.2,0.4,"HOT, WET, HILLS",net.minecraft.world.biome.BiomeGenMutated
150,Twilight Glacier,0.0,0.1,0.12,0.1,0.2,"COLD, SPARSE, DRY, PLAINS, SNOWY, WASTELAND",twilightforest.biomes.TFBiomeGlacier
151,JungleEdge M,0.95,0.8,0.1,0.2,0.4,"HOT, HILLS",net.minecraft.world.biome.BiomeGenMutated
152,Twilight Clearing,0.8,0.4,0.12,0.125,0.05,"SPARSE, PLAINS",twilightforest.biomes.TFBiomeClearing
153,Oak Savanna,0.9,0.0,0.12,0.2,0.2,"HOT, SPARSE, DRY, FOREST, PLAINS",twilightforest.biomes.TFBiomeOakSavanna
154,Firefly Forest,0.5,1.0,0.12,0.125,0.05,"SPARSE, WET, LUSH, FOREST, PLAINS",twilightforest.biomes.TFBiomeFireflyForest
155,Birch Forest M,0.6,0.6,0.1,0.2,0.4,HILLS,null
156,Birch Forest Hills M,0.6,0.6,0.1,0.55,0.5,HILLS,null
157,Roofed Forest M,0.7,0.8,0.1,0.2,0.4,HILLS,null
158,Cold Taiga M,-0.5,0.4,0.1,0.3,0.4,"COLD, HILLS, SNOWY",net.minecraft.world.biome.BiomeGenMutated
159,Deep Mushroom Forest,0.8,1.0,0.12,0.125,0.05,"SPARSE, WET, MUSHROOM, FOREST, PLAINS",twilightforest.biomes.TFBiomeDeepMushrooms
160,Mega Spruce Taiga,0.25,0.8,0.1,0.2,0.2,"DENSE, FOREST",net.minecraft.world.biome.BiomeGenTaiga
161,Mega Spruce Taiga,0.25,0.8,0.1,0.2,0.2,"DENSE, FOREST",net.minecraft.world.biome.BiomeGenTaiga
162,Extreme Hills+ M,0.2,0.3,0.1,1.0,0.5,HILLS,net.minecraft.world.biome.BiomeGenHills
163,Savanna M,1.1,0.0,0.1,0.3625,1.225,"HOT, SPARSE, DRY, SAVANNA, HILLS",net.minecraft.world.biome.BiomeGenSavanna$Mutated
164,Savanna Plateau M,1.0,0.0,0.1,1.05,1.2125001,"HOT, SPARSE, DRY, SAVANNA, HILLS",net.minecraft.world.biome.BiomeGenSavanna$Mutated
165,Mesa (Bryce),2.0,0.0,0.1,0.1,0.2,"HOT, DRY, PLAINS, SANDY",net.minecraft.world.biome.BiomeGenMesa
166,Mesa Plateau F M,2.0,0.0,0.1,0.45,0.3,"HOT, DRY, FOREST, SANDY",net.minecraft.world.biome.BiomeGenMesa
167,Mesa Plateau M,2.0,0.0,0.1,0.45,0.3,"HOT, DRY, PLAINS, SANDY",net.minecraft.world.biome.BiomeGenMesa
168,Dark Forest Center,0.7,0.8,0.12,0.125,0.05,"DENSE, SPOOKY, MAGICAL, FOREST",twilightforest.biomes.TFBiomeDarkForestCenter
169,Highlands Center,0.3,0.2,0.12,10.5,0.025,"DRY, DEAD, MESA, PLAINS, WASTELAND",twilightforest.biomes.TFBiomeFinalPlateau
170,Dark Forest,0.7,0.8,0.12,0.125,0.05,"DENSE, SPOOKY, FOREST",twilightforest.biomes.TFBiomeDarkForest
171,Enchanted Forest,0.5,0.5,0.12,0.1,0.2,"DENSE, MAGICAL, FOREST",twilightforest.biomes.TFBiomeEnchantedForest
172,Fire Swamp,1.0,0.4,0.12,0.1,0.2,"HOT, FOREST, SWAMP, WASTELAND",twilightforest.biomes.TFBiomeFireSwamp
173,Thornlands,0.3,0.2,0.12,6.0,0.1,"DRY, DEAD, PLAINS, HILLS, WASTELAND",twilightforest.biomes.TFBiomeThornlands
174,Storage Cell,-100.0,0.5,0.1,0.1,0.2,"COLD, PLAINS",appeng.spatial.BiomeGenStorage
192,Tainted Land,0.5,0.5,0.1,0.1,0.2,"MAGICAL, WASTELAND",thaumcraft.common.lib.world.biomes.BiomeGenTaint
193,Magical Forest,0.7,0.6,0.1,0.2,0.2,"MAGICAL, FOREST",thaumcraft.common.lib.world.biomes.BiomeGenMagicalForest
194,Eerie,0.5,0.5,0.1,0.1,0.2,"SPOOKY, MAGICAL",thaumcraft.common.lib.world.biomes.BiomeGenEerie
195,Eldritch,0.5,0.5,0.1,0.1,0.2,"SPOOKY, END, MAGICAL",thaumcraft.common.lib.world.biomes.BiomeGenEldritch
