Ore Name,ItemStack,Item ID,Display Name,Wildcard
blockArdite,1xtile.tconstruct.metalblock@1,TConstruct:MetalBlock,Block of Ardite,false
blockBlaze,1xtile.blazeBlock@0,Botania:blazeBlock,Blaze Lamp,false
blockBlutonium,1xtile.brMetal.0@3,BigReactors:BRMetalBlock,Blutonium Block,false
blockBronze,1xic2.blockMetal@2,IC2:blockMetal,Bronze Block,false
blockBronze,1xtile.thermalfoundation.storage@9,ThermalFoundation:Storage,Bronze Block,false
blockBronze,1xtile.for.resourceStorage@3,Forestry:resourceStorage,Block of Bronze,false
blockBronze,1xtile.tconstruct.metalblock@4,TConstruct:MetalBlock,Block of Bronze,false
blockCarpet,1xtile.chisel.carpet_block@0,chisel:carpet_block,Carpet,false
blockCharcoalSugar,1xtile.mfr.decorative.brick@15,MineFactoryReloaded:brick,Sugar Charcoal Block,false
blockCloth,1xtile.cloth@32767,minecraft:wool,(wildcard),true
blockClothRock,1xtile.thermalexpansion.rockwool@32767,ThermalExpansion:Rockwool,(wildcard),true
blockCoal,1xtile.blockCoal@0,minecraft:coal_block,Block of Coal,false
blockCoal,1xtile.extrautils:color_blockCoal@0,ExtraUtilities:color_blockCoal,Colored Block of Coal (White Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@1,ExtraUtilities:color_blockCoal,Colored Block of Coal (Orange Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@2,ExtraUtilities:color_blockCoal,Colored Block of Coal (Magenta Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@3,ExtraUtilities:color_blockCoal,Colored Block of Coal (Light Blue Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@4,ExtraUtilities:color_blockCoal,Colored Block of Coal (Yellow Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@5,ExtraUtilities:color_blockCoal,Colored Block of Coal (Lime Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@6,ExtraUtilities:color_blockCoal,Colored Block of Coal (Pink Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@7,ExtraUtilities:color_blockCoal,Colored Block of Coal (Gray Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@8,ExtraUtilities:color_blockCoal,Colored Block of Coal (Light Gray Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@9,ExtraUtilities:color_blockCoal,Colored Block of Coal (Cyan Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@10,ExtraUtilities:color_blockCoal,Colored Block of Coal (Purple Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@11,ExtraUtilities:color_blockCoal,Colored Block of Coal (Blue Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@12,ExtraUtilities:color_blockCoal,Colored Block of Coal (Brown Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@13,ExtraUtilities:color_blockCoal,Colored Block of Coal (Green Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@14,ExtraUtilities:color_blockCoal,Colored Block of Coal (Red Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@15,ExtraUtilities:color_blockCoal,Colored Block of Coal (Black Frequency),false
blockCoalBlack,1xtile.extrautils:color_blockCoal@0,ExtraUtilities:color_blockCoal,Colored Block of Coal (White Frequency),false
blockCoalBlue,1xtile.extrautils:color_blockCoal@4,ExtraUtilities:color_blockCoal,Colored Block of Coal (Yellow Frequency),false
blockCoalBrown,1xtile.extrautils:color_blockCoal@3,ExtraUtilities:color_blockCoal,Colored Block of Coal (Light Blue Frequency),false
blockCoalCyan,1xtile.extrautils:color_blockCoal@6,ExtraUtilities:color_blockCoal,Colored Block of Coal (Pink Frequency),false
blockCoalGray,1xtile.extrautils:color_blockCoal@8,ExtraUtilities:color_blockCoal,Colored Block of Coal (Light Gray Frequency),false
blockCoalGreen,1xtile.extrautils:color_blockCoal@2,ExtraUtilities:color_blockCoal,Colored Block of Coal (Magenta Frequency),false
blockCoalLightBlue,1xtile.extrautils:color_blockCoal@12,ExtraUtilities:color_blockCoal,Colored Block of Coal (Brown Frequency),false
blockCoalLightGray,1xtile.extrautils:color_blockCoal@7,ExtraUtilities:color_blockCoal,Colored Block of Coal (Gray Frequency),false
blockCoalLime,1xtile.extrautils:color_blockCoal@10,ExtraUtilities:color_blockCoal,Colored Block of Coal (Purple Frequency),false
blockCoalMagenta,1xtile.extrautils:color_blockCoal@13,ExtraUtilities:color_blockCoal,Colored Block of Coal (Green Frequency),false
blockCoalOrange,1xtile.extrautils:color_blockCoal@14,ExtraUtilities:color_blockCoal,Colored Block of Coal (Red Frequency),false
blockCoalPink,1xtile.extrautils:color_blockCoal@9,ExtraUtilities:color_blockCoal,Colored Block of Coal (Cyan Frequency),false
blockCoalPurple,1xtile.extrautils:color_blockCoal@5,ExtraUtilities:color_blockCoal,Colored Block of Coal (Lime Frequency),false
blockCoalRed,1xtile.extrautils:color_blockCoal@1,ExtraUtilities:color_blockCoal,Colored Block of Coal (Orange Frequency),false
blockCoalWhite,1xtile.extrautils:color_blockCoal@15,ExtraUtilities:color_blockCoal,Colored Block of Coal (Black Frequency),false
blockCoalYellow,1xtile.extrautils:color_blockCoal@11,ExtraUtilities:color_blockCoal,Colored Block of Coal (Blue Frequency),false
blockCobalt,1xtile.tconstruct.metalblock@0,TConstruct:MetalBlock,Block of Cobalt,false
blockConductiveIron,1xtile.blockIngotStorage@4,EnderIO:blockIngotStorage,Conductive Iron Block,false
blockConstantan,1xtile.ImmersiveEngineering.storage@5,ImmersiveEngineering:storage,Block of Constantan,false
blockCopper,1xic2.blockMetal@0,IC2:blockMetal,Copper Block,false
blockCopper,1xtile.thermalfoundation.storage@0,ThermalFoundation:Storage,Copper Block,false
blockCopper,1xtile.for.resourceStorage@1,Forestry:resourceStorage,Block of Copper,false
blockCopper,1xtile.railcraft.cube@9,Railcraft:cube,Block of Copper,false
blockCopper,1xtile.ImmersiveEngineering.storage@0,ImmersiveEngineering:storage,Block of Copper,false
blockCopper,1xtile.tconstruct.metalblock@3,TConstruct:MetalBlock,Block of Copper,false
blockCopper,1xtile.projectred.exploration.stone@8,ProjRed|Exploration:projectred.exploration.stone,Block of Copper,false
blockCosmicNeutronium,1xtile.avaritia_resource@0,Avaritia:Resource_Block,Neutronium Block,false
blockCrudeSteel,1xtile.blockIngotStorageEndergy@0,EnderIO:blockIngotStorageEndergy,Clay Compound Block,false
blockCrystalFlux,1xtile.redstonearsenal.storage@1,RedstoneArsenal:Storage,Flux Crystal Block,false
blockCrystalMatrix,1xtile.block_crystal_matrix@0,Avaritia:Crystal_Matrix,Crystal Matrix,false
blockCrystallineAlloy,1xtile.blockIngotStorageEndergy@1,EnderIO:blockIngotStorageEndergy,Crystalline Alloy Block,false
blockCrystallinePinkSlime,1xtile.blockIngotStorageEndergy@4,EnderIO:blockIngotStorageEndergy,Crystalline Pink Slime Block,false
blockCupronickel,1xtile.ImmersiveEngineering.storage@5,ImmersiveEngineering:storage,Block of Constantan,false
blockCyanite,1xtile.brMetal.0@1,BigReactors:BRMetalBlock,Cyanite Block,false
blockDarkSteel,1xtile.blockIngotStorage@6,EnderIO:blockIngotStorage,Dark Steel Block,false
blockDiamond,1xtile.blockDiamond@0,minecraft:diamond_block,Block of Diamond,false
blockDiorite,1xtile.chisel.diorite@0,chisel:diorite,Diorite,false
blockDraconium,1xtile.draconicevolution:draconium@0,DraconicEvolution:draconium,Draconium Block,false
blockDraconiumAwakened,1xtile.draconicevolution:draconicBlock@0,DraconicEvolution:draconicBlock,Awakened Draconium Block,false
blockElectricalSteel,1xtile.blockIngotStorage@0,EnderIO:blockIngotStorage,Electrical Steel Block,false
blockElectrotine,1xtile.projectred.exploration.stone@11,ProjRed|Exploration:projectred.exploration.stone,Block of Electrotine,false
blockElectrum,1xtile.thermalfoundation.storage@7,ThermalFoundation:Storage,Electrum Block,false
blockElectrum,1xtile.ImmersiveEngineering.storage@6,ImmersiveEngineering:storage,Block of Electrum,false
blockElectrumFlux,1xtile.redstonearsenal.storage@0,RedstoneArsenal:Storage,Fluxed Electrum Block,false
blockEmerald,1xtile.blockEmerald@0,minecraft:emerald_block,Block of Emerald,false
blockEndSteel,1xtile.blockIngotStorage@8,EnderIO:blockIngotStorage,End Steel Block,false
blockEnder,1xtile.tconstruct.metalblock@10,TConstruct:MetalBlock,Block of Solid Ender,false
blockEnderCore,1xtile.extrautils:decorativeBlock1@11,ExtraUtilities:decorativeBlock1,Ender Core,false
blockEnderObsidian,1xtile.extrautils:decorativeBlock1@1,ExtraUtilities:decorativeBlock1,Ender-infused Obsidian,false
blockEnderium,1xtile.thermalfoundation.storage@12,ThermalFoundation:Storage,Enderium Block,false
blockEndstone,1xtile.chisel.end_Stone@0,chisel:end_Stone,End Stone,false
blockEnergeticAlloy,1xtile.blockIngotStorage@1,EnderIO:blockIngotStorage,Energetic Alloy Block,false
blockEnergeticSilver,1xtile.blockIngotStorageEndergy@5,EnderIO:blockIngotStorageEndergy,Energetic Silver Block,false
blockFuelCoke,1xtile.ImmersiveEngineering.stoneDevice@3,ImmersiveEngineering:stoneDevice,Block of Coal Coke,false
blockFuelCoke,1xtile.ImmersiveEngineering.stoneDecoration@3,ImmersiveEngineering:stoneDecoration,Block of Coal Coke,false
blockFuelCoke,1xtile.railcraft.cube@0,Railcraft:cube,Block of Coal Coke,false
blockGlass,1xtile.glass@0,minecraft:glass,Glass,false
blockGlass,1xtile.stainedGlass@32767,minecraft:stained_glass,(wildcard),true
blockGlass,1xtile.mfr.stainedglass.block@32767,MineFactoryReloaded:stainedglass.block,(wildcard),true
blockGlass,1xtile.extrautils:decorativeBlock2@0,ExtraUtilities:decorativeBlock2,Thickened Glass,false
blockGlass,1xtile.extrautils:decorativeBlock2@1,ExtraUtilities:decorativeBlock2,Edged Glass,false
blockGlass,1xtile.extrautils:decorativeBlock2@2,ExtraUtilities:decorativeBlock2,Glass Bricks,false
blockGlass,1xtile.extrautils:decorativeBlock2@3,ExtraUtilities:decorativeBlock2,Carved Glass,false
blockGlass,1xtile.extrautils:decorativeBlock2@6,ExtraUtilities:decorativeBlock2,Swirling Glass,false
blockGlass,1xtile.extrautils:decorativeBlock2@9,ExtraUtilities:decorativeBlock2,Square Glass,false
blockGlass,1xtile.GlassBlock@0,TConstruct:GlassBlock,Clear Glass,false
blockGlass,1xtile.blockFusedQuartz@1,EnderIO:blockFusedQuartz,Quite Clear Glass,false
blockGlassBlack,1xtile.stainedGlass@15,minecraft:stained_glass,Black Stained Glass,false
blockGlassBlack,1xtile.mfr.stainedglass.block@15,MineFactoryReloaded:stainedglass.block,Stained Glass (Black),false
blockGlassBlue,1xtile.stainedGlass@11,minecraft:stained_glass,Blue Stained Glass,false
blockGlassBlue,1xtile.mfr.stainedglass.block@11,MineFactoryReloaded:stainedglass.block,Stained Glass (Blue),false
blockGlassBrown,1xtile.stainedGlass@12,minecraft:stained_glass,Brown Stained Glass,false
blockGlassBrown,1xtile.mfr.stainedglass.block@12,MineFactoryReloaded:stainedglass.block,Stained Glass (Brown),false
blockGlassColorless,1xtile.glass@0,minecraft:glass,Glass,false
blockGlassCyan,1xtile.stainedGlass@9,minecraft:stained_glass,Cyan Stained Glass,false
blockGlassCyan,1xtile.mfr.stainedglass.block@9,MineFactoryReloaded:stainedglass.block,Stained Glass (Cyan),false
blockGlassGray,1xtile.stainedGlass@7,minecraft:stained_glass,Gray Stained Glass,false
blockGlassGray,1xtile.mfr.stainedglass.block@7,MineFactoryReloaded:stainedglass.block,Stained Glass (Gray),false
blockGlassGreen,1xtile.stainedGlass@13,minecraft:stained_glass,Green Stained Glass,false
blockGlassGreen,1xtile.mfr.stainedglass.block@13,MineFactoryReloaded:stainedglass.block,Stained Glass (Green),false
blockGlassHardened,1xtile.blockFusedQuartz@0,EnderIO:blockFusedQuartz,Fused Quartz,false
blockGlassHardened,1xtile.thermalexpansion.glass@0,ThermalExpansion:Glass,Hardened Glass,false
blockGlassHardened,1xtile.thermalexpansion.glass@1,ThermalExpansion:Glass,Hardened Lumium Glass,false
blockGlassHardenedIlluminated,1xtile.thermalexpansion.glass@1,ThermalExpansion:Glass,Hardened Lumium Glass,false
blockGlassLightBlue,1xtile.stainedGlass@3,minecraft:stained_glass,Light Blue Stained Glass,false
blockGlassLightBlue,1xtile.mfr.stainedglass.block@3,MineFactoryReloaded:stainedglass.block,Stained Glass (Light Blue),false
blockGlassLightGray,1xtile.stainedGlass@8,minecraft:stained_glass,Light Gray Stained Glass,false
blockGlassLightGray,1xtile.mfr.stainedglass.block@8,MineFactoryReloaded:stainedglass.block,Stained Glass (Light Gray),false
blockGlassLime,1xtile.stainedGlass@5,minecraft:stained_glass,Lime Stained Glass,false
blockGlassLime,1xtile.mfr.stainedglass.block@5,MineFactoryReloaded:stainedglass.block,Stained Glass (Lime),false
blockGlassMagenta,1xtile.stainedGlass@2,minecraft:stained_glass,Magenta Stained Glass,false
blockGlassMagenta,1xtile.mfr.stainedglass.block@2,MineFactoryReloaded:stainedglass.block,Stained Glass (Magenta),false
blockGlassOrange,1xtile.stainedGlass@1,minecraft:stained_glass,Orange Stained Glass,false
blockGlassOrange,1xtile.mfr.stainedglass.block@1,MineFactoryReloaded:stainedglass.block,Stained Glass (Orange),false
blockGlassPink,1xtile.stainedGlass@6,minecraft:stained_glass,Pink Stained Glass,false
blockGlassPink,1xtile.mfr.stainedglass.block@6,MineFactoryReloaded:stainedglass.block,Stained Glass (Pink),false
blockGlassPurple,1xtile.stainedGlass@10,minecraft:stained_glass,Purple Stained Glass,false
blockGlassPurple,1xtile.mfr.stainedglass.block@10,MineFactoryReloaded:stainedglass.block,Stained Glass (Purple),false
blockGlassRed,1xtile.stainedGlass@14,minecraft:stained_glass,Red Stained Glass,false
blockGlassRed,1xtile.mfr.stainedglass.block@14,MineFactoryReloaded:stainedglass.block,Stained Glass (Red),false
blockGlassSandy,1xtile.extrautils:decorativeBlock1@9,ExtraUtilities:decorativeBlock1,Sandy Glass,false
blockGlassWhite,1xtile.stainedGlass@0,minecraft:stained_glass,White Stained Glass,false
blockGlassWhite,1xtile.mfr.stainedglass.block@0,MineFactoryReloaded:stainedglass.block,Stained Glass (White),false
blockGlassYellow,1xtile.stainedGlass@4,minecraft:stained_glass,Yellow Stained Glass,false
blockGlassYellow,1xtile.mfr.stainedglass.block@4,MineFactoryReloaded:stainedglass.block,Stained Glass (Yellow),false
blockGold,1xtile.blockGold@0,minecraft:gold_block,Block of Gold,false
blockGranite,1xtile.chisel.granite@0,chisel:granite,Granite,false
blockGraphite,1xtile.brMetal.0@2,BigReactors:BRMetalBlock,Graphite Block,false
blockHopper,1xtile.hopper@0,minecraft:hopper,Hopper,false
blockIce,1xtile.ice@0,minecraft:ice,Ice,false
blockIcestone,1xtile.extrautils:decorativeBlock1@3,ExtraUtilities:decorativeBlock1,Frosted Stone,false
blockInfinity,1xtile.avaritia_resource@1,Avaritia:Resource_Block,Infinity Block,false
blockInvar,1xtile.thermalfoundation.storage@8,ThermalFoundation:Storage,Invar Block,false
blockIron,1xtile.blockIron@0,minecraft:iron_block,Block of Iron,false
blockLapis,1xtile.blockLapis@0,minecraft:lapis_block,Lapis Lazuli Block,false
blockLapis,1xtile.extrautils:color_blockLapis@0,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (White Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@1,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Orange Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@2,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Magenta Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@3,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Light Blue Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@4,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Yellow Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@5,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Lime Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@6,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Pink Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@7,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Gray Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@8,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Light Gray Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@9,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Cyan Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@10,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Purple Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@11,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Blue Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@12,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Brown Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@13,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Green Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@14,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Red Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@15,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Black Frequency),false
blockLapisBlack,1xtile.extrautils:color_blockLapis@0,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (White Frequency),false
blockLapisBlue,1xtile.extrautils:color_blockLapis@4,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Yellow Frequency),false
blockLapisBrown,1xtile.extrautils:color_blockLapis@3,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Light Blue Frequency),false
blockLapisCyan,1xtile.extrautils:color_blockLapis@6,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Pink Frequency),false
blockLapisGray,1xtile.extrautils:color_blockLapis@8,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Light Gray Frequency),false
blockLapisGreen,1xtile.extrautils:color_blockLapis@2,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Magenta Frequency),false
blockLapisLightBlue,1xtile.extrautils:color_blockLapis@12,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Brown Frequency),false
blockLapisLightGray,1xtile.extrautils:color_blockLapis@7,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Gray Frequency),false
blockLapisLime,1xtile.extrautils:color_blockLapis@10,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Purple Frequency),false
blockLapisMagenta,1xtile.extrautils:color_blockLapis@13,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Green Frequency),false
blockLapisOrange,1xtile.extrautils:color_blockLapis@14,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Red Frequency),false
blockLapisPink,1xtile.extrautils:color_blockLapis@9,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Cyan Frequency),false
blockLapisPurple,1xtile.extrautils:color_blockLapis@5,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Lime Frequency),false
blockLapisRed,1xtile.extrautils:color_blockLapis@1,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Orange Frequency),false
blockLapisWhite,1xtile.extrautils:color_blockLapis@15,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Black Frequency),false
blockLapisYellow,1xtile.extrautils:color_blockLapis@11,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Blue Frequency),false
blockLead,1xic2.blockMetal@4,IC2:blockMetal,Lead Block,false
blockLead,1xtile.thermalfoundation.storage@3,ThermalFoundation:Storage,Lead Block,false
blockLead,1xtile.railcraft.cube@11,Railcraft:cube,Block of Lead,false
blockLead,1xtile.ImmersiveEngineering.storage@2,ImmersiveEngineering:storage,Block of Lead,false
blockLudicrite,1xtile.brMetal.0@4,BigReactors:BRMetalBlock,Ludicrite Block,false
blockLumium,1xtile.thermalfoundation.storage@11,ThermalFoundation:Storage,Lumium Block,false
blockMagicWood,1xtile.extrautils:decorativeBlock1@7,ExtraUtilities:decorativeBlock1,Border Stone (Alternate),false
blockMalachite,1xtile.gemOre@11,BiomesOPlenty:gemOre,Block of Malachite,false
blockManyullyn,1xtile.tconstruct.metalblock@2,TConstruct:MetalBlock,Block of Manyullyn,false
blockMarble,1xtile.chisel.marble@0,chisel:marble,Marble,false
blockMarble,1xtile.projectred.exploration.stone@0,ProjRed|Exploration:projectred.exploration.stone,Marble,false
blockMeat,1xtile.mfr.decorative.brick@13,MineFactoryReloaded:brick,Cooked Meat Block,false
blockMeatRaw,1xtile.mfr.decorative.brick@12,MineFactoryReloaded:brick,Raw Meat Block,false
blockMeatRaw,1xtile.flesh@0,BiomesOPlenty:flesh,Flesh,false
blockMelodicAlloy,1xtile.blockIngotStorageEndergy@2,EnderIO:blockIngotStorageEndergy,Melodic Alloy Block,false
blockMithril,1xtile.thermalfoundation.storage@6,ThermalFoundation:Storage,Mana Infused Block,false
blockNetherStar,1xtile.StarBlock@0,ForbiddenMagic:StarBlock,Nether Star Block,false
blockNickel,1xtile.thermalfoundation.storage@4,ThermalFoundation:Storage,Ferrous Block,false
blockNickel,1xtile.ImmersiveEngineering.storage@4,ImmersiveEngineering:storage,Block of Nickel,false
blockObsidian,1xtile.obsidian@0,minecraft:obsidian,Obsidian,false
blockPackedIce,1xtile.icePacked@0,minecraft:packed_ice,Packed Ice,false
blockPeridot,1xtile.gemOre@5,BiomesOPlenty:gemOre,Block of Peridot,false
blockPeridot,1xtile.projectred.exploration.stone@7,ProjRed|Exploration:projectred.exploration.stone,Block of Peridot,false
blockPlastic,1xtile.mfr.plastic@0,MineFactoryReloaded:plastic,Block of Plastic,false
blockPlatinum,1xtile.thermalfoundation.storage@5,ThermalFoundation:Storage,Shiny Block,false
blockPrismarine,1xtile.prismarine@32767,Botania:prismarine,(wildcard),true
blockPulsatingIron,1xtile.blockIngotStorage@5,EnderIO:blockIngotStorage,Pulsating Iron Block,false
blockQuartz,1xtile.quartzBlock@0,minecraft:quartz_block,Block of Quartz,false
blockRedstone,1xtile.blockRedstone@0,minecraft:redstone_block,Block of Redstone,false
blockRedstone,1xtile.extrautils:color_blockRedstone@0,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (White Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@1,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Orange Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@2,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Magenta Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@3,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Light Blue Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@4,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Yellow Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@5,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Lime Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@6,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Pink Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@7,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Gray Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@8,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Light Gray Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@9,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Cyan Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@10,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Purple Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@11,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Blue Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@12,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Brown Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@13,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Green Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@14,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Red Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@15,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Black Frequency),false
blockRedstoneAlloy,1xtile.blockIngotStorage@3,EnderIO:blockIngotStorage,Redstone Alloy Block,false
blockRedstoneBlack,1xtile.extrautils:color_blockRedstone@0,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (White Frequency),false
blockRedstoneBlue,1xtile.extrautils:color_blockRedstone@4,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Yellow Frequency),false
blockRedstoneBrown,1xtile.extrautils:color_blockRedstone@3,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Light Blue Frequency),false
