ItemStack Display Name,Item Unlocalized Name,Item Numerical ID,Meta,Aspect List
Laser Drill,tile.mfr.machine.2,816,0,5xPotentia;6xMachina;3xMetallum;7xLucrum;7xVitreus;30xPerfodio;15xLux;4xVictus
Crag Rock,tile.cragRock,2763,0,2xTerra
Larch Stairs (Fireproof),tile.for.stairsFireproof,1390,32767,1xArbor
Transfer Node (Hyper Energy),tile.extrautils:extractor_base,1977,13,27xMetallum;33xLucrum;9xArbor;63xPotentia;27xMachina;48xTerra;48xPerditio;15xVitreus
Transfer Node (Energy),tile.extrautils:extractor_base,1977,12,9xMetallum;6xLucrum;3xArbor;21xPotentia;9xMachina
Transfer Node (Liquids),tile.extrautils:extractor_base,1977,6,3xMetallum
Transfer Node (Items),tile.extrautils:extractor_base,1977,0,1xArbor
Leather,item.leather,334,32767,2xPannus;1xBestia;1xTutamen
Uberous Soil,tile.UberousSoil,1543,32767,4xTerra;2xSensus;2xHerba
Enchanted Book,item.enchantedBook,403,32767,1xMetallum
Enchanted Book,item.enchantedBook,403,0,1xPannus;0xCognitio;1xMetallum
Coordinate Selector,item.itemCoordSelector,6629,8,6xPotentia;9xIgnis;21xMetallum;3xOrdo;3xSensus;3xAlienis;1xPraecantatio;3xIter
Coordinate Selector,item.itemCoordSelector,6629,15,6xPotentia;9xIgnis;21xMetallum;3xOrdo;3xSensus;3xAlienis;1xPraecantatio;3xIter
Coordinate Selector,item.itemCoordSelector,6629,14,6xPotentia;9xIgnis;21xMetallum;3xOrdo;3xSensus;3xAlienis;1xPraecantatio;3xIter
Coordinate Selector,item.itemCoordSelector,6629,13,6xPotentia;9xIgnis;21xMetallum;3xOrdo;3xSensus;3xAlienis;1xPraecantatio;3xIter
Coordinate Selector,item.itemCoordSelector,6629,12,6xPotentia;9xIgnis;21xMetallum;3xOrdo;3xSensus;3xAlienis;1xPraecantatio;3xIter
Coordinate Selector,item.itemCoordSelector,6629,11,6xPotentia;9xIgnis;21xMetallum;3xOrdo;3xSensus;3xAlienis;1xPraecantatio;3xIter
Coordinate Selector,item.itemCoordSelector,6629,10,6xPotentia;9xIgnis;21xMetallum;3xOrdo;3xSensus;3xAlienis;1xPraecantatio;3xIter
Coordinate Selector,item.itemCoordSelector,6629,9,6xPotentia;9xIgnis;21xMetallum;3xOrdo;3xSensus;3xAlienis;1xPraecantatio;3xIter
Coordinate Selector,item.itemCoordSelector,6629,32767,6xPotentia;9xIgnis;21xMetallum;3xOrdo;3xSensus;3xAlienis;1xPraecantatio;3xIter
Coordinate Selector,item.itemCoordSelector,6629,7,6xPotentia;9xIgnis;21xMetallum;3xOrdo;3xSensus;3xAlienis;1xPraecantatio;3xIter
Coordinate Selector,item.itemCoordSelector,6629,6,6xPotentia;9xIgnis;21xMetallum;3xOrdo;3xSensus;3xAlienis;1xPraecantatio;3xIter
Coordinate Selector,item.itemCoordSelector,6629,5,6xPotentia;9xIgnis;21xMetallum;3xOrdo;3xSensus;3xAlienis;1xPraecantatio;3xIter
Coordinate Selector,item.itemCoordSelector,6629,4,6xPotentia;9xIgnis;21xMetallum;3xOrdo;3xSensus;3xAlienis;1xPraecantatio;3xIter
Coordinate Selector,item.itemCoordSelector,6629,3,6xPotentia;9xIgnis;21xMetallum;3xOrdo;3xSensus;3xAlienis;1xPraecantatio;3xIter
Coordinate Selector,item.itemCoordSelector,6629,2,6xPotentia;9xIgnis;21xMetallum;3xOrdo;3xSensus;3xAlienis;1xPraecantatio;3xIter
Coordinate Selector,item.itemCoordSelector,6629,1,6xPotentia;9xIgnis;21xMetallum;3xOrdo;3xSensus;3xAlienis;1xPraecantatio;3xIter
Coordinate Selector,item.itemCoordSelector,6629,0,6xPotentia;9xIgnis;21xMetallum;3xOrdo;3xSensus;3xAlienis;1xPraecantatio;3xIter
Unlit Candle,tile.for.candle,1376,0,1xVitreus;2xTerra
Vapor of Levity Bucket,item.bucketVapor_of_levity,7597,0,
Vapor of Levity Bucket,item.bucketVapor_of_levity,7597,15,
Vapor of Levity Bucket,item.bucketVapor_of_levity,7597,14,
Vapor of Levity Bucket,item.bucketVapor_of_levity,7597,13,
Vapor of Levity Bucket,item.bucketVapor_of_levity,7597,12,
Vapor of Levity Bucket,item.bucketVapor_of_levity,7597,11,
Vapor of Levity Bucket,item.bucketVapor_of_levity,7597,10,
Vapor of Levity Bucket,item.bucketVapor_of_levity,7597,9,
Vapor of Levity Bucket,item.bucketVapor_of_levity,7597,8,
Vapor of Levity Bucket,item.bucketVapor_of_levity,7597,7,
Vapor of Levity Bucket,item.bucketVapor_of_levity,7597,6,
Vapor of Levity Bucket,item.bucketVapor_of_levity,7597,5,
Vapor of Levity Bucket,item.bucketVapor_of_levity,7597,4,
Vapor of Levity Bucket,item.bucketVapor_of_levity,7597,3,
Vapor of Levity Bucket,item.bucketVapor_of_levity,7597,2,
Vapor of Levity Bucket,item.bucketVapor_of_levity,7597,1,
Vapor of Levity Bucket,item.bucketVapor_of_levity,7597,32767,
Hawthorn Stairs,tile.witchery:stairswoodhawthorn,2296,32767,1xArbor
Hawthorn Stairs,tile.witchery:stairswoodhawthorn,2296,0,1xArbor
Cookie,item.cookie,357,32767,1xFames;1xGula
Wood Gear,item.woodenGearItem,5925,32767,3xArbor
Chocolate Milk Bucket,item.mfr.bucket.chocolatemilk,5058,32767,19xMetallum;2xFames;1xMotus;1xPotentia;2xAqua;1xVacuos
Shadow Ink,item.FMResource,6726,1,1xTenebrae
Emerald Fragment,item.FMResource,6726,0,1xVitreus
Brew of Endless Water,item.witchery:brew.water,7077,0,8xAqua;1xPraecantatio
Ender Chest,tile.enderChest,130,32767,2xPermutatio;4xIter;4xVacuos;12xTerra;12xIgnis;6xTenebrae;2xAlienis
Conduit Facade,tile.blockConduitFacade,1926,0,
Conduit Facade,tile.blockConduitFacade,1926,15,
Conduit Facade,tile.blockConduitFacade,1926,14,
Conduit Facade,tile.blockConduitFacade,1926,13,
Conduit Facade,tile.blockConduitFacade,1926,12,
Conduit Facade,tile.blockConduitFacade,1926,11,
Conduit Facade,tile.blockConduitFacade,1926,10,
Conduit Facade,tile.blockConduitFacade,1926,9,
Conduit Facade,tile.blockConduitFacade,1926,8,
Conduit Facade,tile.blockConduitFacade,1926,7,
Conduit Facade,tile.blockConduitFacade,1926,6,
Conduit Facade,tile.blockConduitFacade,1926,5,
Conduit Facade,tile.blockConduitFacade,1926,4,
Conduit Facade,tile.blockConduitFacade,1926,3,
Conduit Facade,tile.blockConduitFacade,1926,2,
Conduit Facade,tile.blockConduitFacade,1926,1,
Conduit Facade,tile.blockConduitFacade,1926,32767,
Redstone,item.redstone,331,0,2xPotentia;1xMachina
Brew of Combustion,item.witchery:brew.fuel,7076,0,2xAqua;2xPotentia;1xPraecantatio
Resonant Flux Capacitor,item.thermalexpansion.capacitor,5645,5,47xPotentia;14xMachina;40xMetallum;2xAlienis;3xLucrum;2xTutamen;5xOrdo;5xPermutatio;9xVitreus;6xIgnis;2xPraecantatio
Redstone Flux Capacitor,item.thermalexpansion.capacitor,5645,4,32xPotentia;12xMachina;30xMetallum;4xLucrum;2xTutamen;5xOrdo;4xPermutatio;7xVitreus;1xIgnis
Hardened Flux Capacitor,item.thermalexpansion.capacitor,5645,3,21xPotentia;9xMachina;21xMetallum;2xTutamen;4xOrdo;3xPermutatio;1xIgnis
Leadstone Flux Capacitor,item.thermalexpansion.capacitor,5645,2,10xPotentia;5xMachina;10xMetallum;3xOrdo;2xPermutatio;1xIgnis
Tuberous Flux Capacitor,item.thermalexpansion.capacitor,5645,1,4xPotentia;1xFames;1xTerra;1xMessis;1xMachina
Sulfur Dust,ic2.itemDust,4760,13,
Obsidian Dust,ic2.itemDust,4760,11,
Lead Dust,ic2.itemDust,4760,10,2xMetallum;1xPerditio;1xOrdo
Tin Dust,ic2.itemDust,4760,7,2xMetallum;1xPerditio;1xVitreus
Silver Dust,ic2.itemDust,4760,6,2xMetallum;1xPerditio;1xLucrum
Iron Dust,ic2.itemDust,4760,5,3xMetallum;1xPerditio
Gold Dust,ic2.itemDust,4760,4,2xMetallum;1xPerditio;1xLucrum
Copper Dust,ic2.itemDust,4760,3,2xMetallum;1xPerditio;1xPermutatio
Coal Dust,ic2.itemDust,4760,2,2xPotentia;2xIgnis
Bronze Dust,ic2.itemDust,4760,0,2xMetallum;1xPerditio;1xInstrumentum
Liveroot,item.liveRoot,6078,32767,1xPraecantatio;2xArbor;2xVictus
Melon,tile.melon,103,32767,2xMessis;6xFames
Charm of Keeping I,item.charmOfKeeping1,6129,32767,1xMortuus;2xIter;4xLucrum
Mushroom,tile.mushroom,40,0,1xHerba;1xTenebrae;1xIgnis
Nether Quartz Ore,tile.netherquartz,153,0,3xVitreus;2xInfernus
Dark Plate,item.darkSteel_chestplate,6666,0,24xMetallum;12xPotentia;24xIgnis;12xTerra;6xTenebrae
Dark Plate,item.darkSteel_chestplate,6666,15,24xMetallum;12xPotentia;24xIgnis;12xTerra;6xTenebrae
Dark Plate,item.darkSteel_chestplate,6666,14,24xMetallum;12xPotentia;24xIgnis;12xTerra;6xTenebrae
Dark Plate,item.darkSteel_chestplate,6666,13,24xMetallum;12xPotentia;24xIgnis;12xTerra;6xTenebrae
Dark Plate,item.darkSteel_chestplate,6666,12,24xMetallum;12xPotentia;24xIgnis;12xTerra;6xTenebrae
Dark Plate,item.darkSteel_chestplate,6666,11,24xMetallum;12xPotentia;24xIgnis;12xTerra;6xTenebrae
Dark Plate,item.darkSteel_chestplate,6666,10,24xMetallum;12xPotentia;24xIgnis;12xTerra;6xTenebrae
Dark Plate,item.darkSteel_chestplate,6666,9,24xMetallum;12xPotentia;24xIgnis;12xTerra;6xTenebrae
Dark Plate,item.darkSteel_chestplate,6666,8,24xMetallum;12xPotentia;24xIgnis;12xTerra;6xTenebrae
Dark Plate,item.darkSteel_chestplate,6666,7,24xMetallum;12xPotentia;24xIgnis;12xTerra;6xTenebrae
Dark Plate,item.darkSteel_chestplate,6666,6,24xMetallum;12xPotentia;24xIgnis;12xTerra;6xTenebrae
Dark Plate,item.darkSteel_chestplate,6666,5,24xMetallum;12xPotentia;24xIgnis;12xTerra;6xTenebrae
Dark Plate,item.darkSteel_chestplate,6666,4,24xMetallum;12xPotentia;24xIgnis;12xTerra;6xTenebrae
Dark Plate,item.darkSteel_chestplate,6666,3,24xMetallum;12xPotentia;24xIgnis;12xTerra;6xTenebrae
Dark Plate,item.darkSteel_chestplate,6666,2,24xMetallum;12xPotentia;24xIgnis;12xTerra;6xTenebrae
Dark Plate,item.darkSteel_chestplate,6666,1,24xMetallum;12xPotentia;24xIgnis;12xTerra;6xTenebrae
Dark Plate,item.darkSteel_chestplate,6666,32767,24xMetallum;12xPotentia;24xIgnis;12xTerra;6xTenebrae
Laser Focus (Black),item.mfr.laserfocus,5035,32767,13xVitreus;19xLucrum;3xMetallum;1xOrdo
Silver Ore,tile.ImmersiveEngineering.ore,2051,3,3xMetallum;1xPerditio;1xLucrum
Lead Ore,tile.ImmersiveEngineering.ore,2051,2,3xMetallum;1xPerditio;1xOrdo
Copper Ore,tile.ImmersiveEngineering.ore,2051,0,2xMetallum;1xTerra;1xPermutatio
Gluttony Shard,item.GluttonyShard,6713,32767,1xInfernus;2xGula;1xVitreus
Wormwood,tile.witchery:wormwood,2269,0,2xExanimis;1xHerba
Uncrafting Table,tile.TFUncraftingTable,1511,32767,4xArbor;8xPerditio;12xPermutatio;16xFabrico
Ice Bomb,item.iceBomb,6155,32767,3xGelum;1xAer
Farmland,tile.farmland,60,32767,1xTerra;2xMeto
Gold Nugget,item.goldNugget,371,0,1xMetallum
Music Disc,item.record,2263,0,4xSensus;4xAer;4xTenebrae;4xLucrum
Silverwood Slab,tile.blockCosmeticSlabWood,889,1,1xArbor
Greatwood Slab,tile.blockCosmeticSlabWood,889,0,1xArbor
Redprint,item.thermalexpansion.diagram,5647,1,2xPotentia;3xCognitio
Schematic,item.thermalexpansion.diagram,5647,0,3xCognitio
ME IO Port,tile.appliedenergistics2.BlockIOPort,769,32767,
ME IO Port,tile.appliedenergistics2.BlockIOPort,769,0,4xVitreus;4xMetallum;4xLucrum;9xCognitio;4xVacuos;4xPermutatio
Larch Wood Slab (Fireproof),tile.for.slabsFireproof,1387,32767,1xArbor
Guardian Diode,item.itemFrankenSkull,6633,15,
Guardian Diode,item.itemFrankenSkull,6633,14,
Guardian Diode,item.itemFrankenSkull,6633,13,
Guardian Diode,item.itemFrankenSkull,6633,12,
Guardian Diode,item.itemFrankenSkull,6633,11,
Guardian Diode,item.itemFrankenSkull,6633,10,
Guardian Diode,item.itemFrankenSkull,6633,9,
Guardian Diode,item.itemFrankenSkull,6633,8,
Guardian Diode,item.itemFrankenSkull,6633,7,
Guardian Diode,item.itemFrankenSkull,6633,6,
Skeletal Contractor,item.itemFrankenSkull,6633,5,
Sentient Ender,item.itemFrankenSkull,6633,4,
Ender Resonator,item.itemFrankenSkull,6633,3,5xPraecantatio;8xIter;8xAlienis;2xIgnis;2xOrdo;3xSensus;2xLux;2xPotentia;1xMachina;9xMetallum;6xLucrum;2xTerra;2xVinculum;2xSpiritus
Frank'N'Zombie,item.itemFrankenSkull,6633,2,2xExanimis;1xHumanus;3xTerra;4xMortuus;6xSpiritus;4xCorpus;2xIgnis;2xOrdo;2xSensus;17xMetallum;10xLucrum;3xPotentia;1xMachina;2xVinculum
Z-Logic Controller,item.itemFrankenSkull,6633,1,4xMortuus;6xSpiritus;4xCorpus;2xIgnis;2xOrdo;2xSensus;17xMetallum;10xLucrum;3xPotentia;1xMachina;2xTerra;2xVinculum
Zombie Electrode,item.itemFrankenSkull,6633,0,4xMortuus;4xSpiritus;4xCorpus;2xIgnis;2xOrdo;4xSensus;17xMetallum;10xLucrum;7xPotentia;3xMachina;4xLux
Wildwood Slab,tile.wildwoodSlab,604,0,1xArbor
Moonworm,tile.TFMoonworm,1515,32767,2xTenebrae;2xLux
Glowstone Dust,item.yellowDust,348,0,1xSensus;2xLux
Diamond Spike,tile.extrautils:spike_base_diamond,1983,32767,16xVitreus;24xLucrum;26xMetallum;18xTelum
Vacuum Chest,tile.blockVacuumChest,1900,0,21xMetallum;3xVacuos;4xArbor;2xVitreus;2xLucrum
Vacuum Chest,tile.blockVacuumChest,1900,15,21xMetallum;3xVacuos;4xArbor;2xVitreus;2xLucrum
Vacuum Chest,tile.blockVacuumChest,1900,14,21xMetallum;3xVacuos;4xArbor;2xVitreus;2xLucrum
Vacuum Chest,tile.blockVacuumChest,1900,13,21xMetallum;3xVacuos;4xArbor;2xVitreus;2xLucrum
Vacuum Chest,tile.blockVacuumChest,1900,12,21xMetallum;3xVacuos;4xArbor;2xVitreus;2xLucrum
Vacuum Chest,tile.blockVacuumChest,1900,11,21xMetallum;3xVacuos;4xArbor;2xVitreus;2xLucrum
Vacuum Chest,tile.blockVacuumChest,1900,10,21xMetallum;3xVacuos;4xArbor;2xVitreus;2xLucrum
Vacuum Chest,tile.blockVacuumChest,1900,9,21xMetallum;3xVacuos;4xArbor;2xVitreus;2xLucrum
Vacuum Chest,tile.blockVacuumChest,1900,8,21xMetallum;3xVacuos;4xArbor;2xVitreus;2xLucrum
Vacuum Chest,tile.blockVacuumChest,1900,7,21xMetallum;3xVacuos;4xArbor;2xVitreus;2xLucrum
Vacuum Chest,tile.blockVacuumChest,1900,6,21xMetallum;3xVacuos;4xArbor;2xVitreus;2xLucrum
Vacuum Chest,tile.blockVacuumChest,1900,5,21xMetallum;3xVacuos;4xArbor;2xVitreus;2xLucrum
Vacuum Chest,tile.blockVacuumChest,1900,4,21xMetallum;3xVacuos;4xArbor;2xVitreus;2xLucrum
Vacuum Chest,tile.blockVacuumChest,1900,3,21xMetallum;3xVacuos;4xArbor;2xVitreus;2xLucrum
Vacuum Chest,tile.blockVacuumChest,1900,2,21xMetallum;3xVacuos;4xArbor;2xVitreus;2xLucrum
Vacuum Chest,tile.blockVacuumChest,1900,1,21xMetallum;3xVacuos;4xArbor;2xVitreus;2xLucrum
Vacuum Chest,tile.blockVacuumChest,1900,32767,21xMetallum;3xVacuos;4xArbor;2xVitreus;2xLucrum
Certus Quartz Pickaxe,item.appliedenergistics2.ToolCertusQuartzPickaxe,4958,0,2xVitreus;1xArbor
Andesite,tile.chisel.andesite,1571,0,
Splash Potion of Water Breathing,item.potion,373,32701,1xAqua;1xVitreus
Water Bottle,item.potion,373,0,1xAqua;1xVitreus
Potion of Harming,item.potion,373,16348,1xAqua;1xVitreus
Splash Potion of Slowness,item.potion,373,32698,1xAqua;1xVitreus
Splash Potion of Strength,item.potion,373,32697,1xAqua;1xVitreus
Potion of Strength,item.potion,373,16345,1xAqua;1xVitreus
Splash Potion of Night Vision,item.potion,373,32694,1xAqua;1xVitreus
Potion of Healing,item.potion,373,16341,1xAqua;1xVitreus
Potion of Poison,item.potion,373,16340,1xAqua;1xVitreus
Splash Potion of Swiftness,item.potion,373,32690,1xAqua;1xVitreus
Potion of Swiftness,item.potion,373,16338,1xAqua;1xVitreus
Potion of Regeneration,item.potion,373,16337,1xAqua;1xVitreus
Potion of Invisibility,item.potion,373,16318,1xAqua;1xVitreus
Potion of Water Breathing,item.potion,373,16317,1xAqua;1xVitreus
Potion of Slowness,item.potion,373,16314,1xAqua;1xVitreus
Potion of Strength,item.potion,373,16313,1xAqua;1xVitreus
Potion of Weakness,item.potion,373,16312,1xAqua;1xVitreus
Potion of Night Vision,item.potion,373,16310,1xAqua;1xVitreus
Splash Potion of Strength,item.potion,373,32665,1xAqua;1xVitreus
Potion of Poison,item.potion,373,16308,1xAqua;1xVitreus
Splash Potion of Swiftness,item.potion,373,32658,1xAqua;1xVitreus
Splash Potion of Regeneration,item.potion,373,32657,1xAqua;1xVitreus
Potion of Regeneration,item.potion,373,16305,1xAqua;1xVitreus
Potion of Regeneration,item.potion,373,8225,
Splash Potion of Regeneration,item.potion,373,32689,1xAqua;1xVitreus
Splash Potion of Fire Resistance,item.potion,373,32691,1xAqua;1xVitreus
Splash Potion of Poison,item.potion,373,32692,1xAqua;1xVitreus
Potion of Strength,item.potion,373,16281,1xAqua;1xVitreus
Splash Potion of Weakness,item.potion,373,32696,1xAqua;1xVitreus
Potion of Poison,item.potion,373,16276,1xAqua;1xVitreus
Potion of Swiftness,item.potion,373,16274,1xAqua;1xVitreus
Potion of Regeneration,item.potion,373,16273,1xAqua;1xVitreus
Potion of Healing,item.potion,373,8229,
Potion of Swiftness,item.potion,373,16306,1xAqua;1xVitreus
Potion of Fire Resistance,item.potion,373,16307,1xAqua;1xVitreus
Splash Potion of Regeneration,item.potion,373,32721,1xAqua;1xVitreus
Splash Potion of Swiftness,item.potion,373,32722,1xAqua;1xVitreus
Splash Potion of Strength,item.potion,373,32729,1xAqua;1xVitreus
Splash Potion of Poison,item.potion,373,32660,1xAqua;1xVitreus
Splash Potion of Water Breathing,item.potion,373,32765,1xAqua;1xVitreus
Splash Potion of Harming,item.potion,373,32764,1xAqua;1xVitreus
Splash Potion of Slowness,item.potion,373,32762,1xAqua;1xVitreus
Splash Potion of Strength,item.potion,373,32761,1xAqua;1xVitreus
Splash Potion of Weakness,item.potion,373,32760,1xAqua;1xVitreus
Splash Potion of Invisibility,item.potion,373,32766,1xAqua;1xVitreus
Splash Potion of Night Vision,item.potion,373,32758,1xAqua;1xVitreus
Splash Potion of Healing,item.potion,373,32757,1xAqua;1xVitreus
Splash Potion of Poison,item.potion,373,32756,1xAqua;1xVitreus
Splash Potion of Fire Resistance,item.potion,373,32755,1xAqua;1xVitreus
Splash Potion of Swiftness,item.potion,373,32754,1xAqua;1xVitreus
Splash Potion of Regeneration,item.potion,373,32753,1xAqua;1xVitreus
Potion of Healing,item.potion,373,16373,1xAqua;1xVitreus
Potion of Night Vision,item.potion,373,16374,1xAqua;1xVitreus
Potion of Invisibility,item.potion,373,16382,1xAqua;1xVitreus
Splash Potion of Harming,item.potion,373,32732,1xAqua;1xVitreus
Potion of Harming,item.potion,373,16380,1xAqua;1xVitreus
Potion of Water Breathing,item.potion,373,16381,1xAqua;1xVitreus
Potion of Slowness,item.potion,373,16378,1xAqua;1xVitreus
Potion of Strength,item.potion,373,16377,1xAqua;1xVitreus
Potion of Weakness,item.potion,373,16376,1xAqua;1xVitreus
Splash Potion of Healing,item.potion,373,32725,1xAqua;1xVitreus
Splash Potion of Poison,item.potion,373,32724,1xAqua;1xVitreus
Potion of Poison,item.potion,373,16372,1xAqua;1xVitreus
Potion of Fire Resistance,item.potion,373,16371,1xAqua;1xVitreus
Potion of Swiftness,item.potion,373,16370,1xAqua;1xVitreus
Potion of Regeneration,item.potion,373,16369,1xAqua;1xVitreus
Splash Potion of Invisibility,item.potion,373,32702,1xAqua;1xVitreus
Monocle,item.BiblioGlasses,5490,2,3xMetallum
Tinted Glasses,item.BiblioGlasses,5490,1,2xMetallum;1xSensus
Reading Glasses,item.BiblioGlasses,5490,0,3xMetallum;1xSensus
Energetic Infuser (Basic),tile.thermalexpansion.machine,2386,10,8xMetallum;2xVitreus;6xMachina;6xPotentia;2xPermutatio
Cyclic Assembler (Basic),tile.thermalexpansion.machine,2386,9,8xMetallum;2xVitreus;6xMachina;2xPotentia;4xFabrico;2xMotus
Aqueous Accumulator (Basic),tile.thermalexpansion.machine,2386,8,8xMetallum;2xVitreus;6xMachina;2xPotentia;4xGelum;2xAqua
Igneous Extruder (Basic),tile.thermalexpansion.machine,2386,7,8xMetallum;2xVitreus;6xMachina;2xPotentia;4xPerditio;1xAqua;1xIgnis
Glacial Precipitator (Basic),tile.thermalexpansion.machine,2386,6,8xMetallum;2xVitreus;6xMachina;2xPotentia;4xGelum;2xAqua
Fluid Transposer (Basic),tile.thermalexpansion.machine,2386,5,8xMetallum;2xVitreus;6xMachina;2xPotentia;4xAqua;2xMotus
Magma Crucible (Basic),tile.thermalexpansion.machine,2386,4,8xMetallum;2xVitreus;6xMachina;2xPotentia;4xIgnis;2xAqua
Induction Smelter (Basic),tile.thermalexpansion.machine,2386,3,8xMetallum;2xVitreus;6xMachina;2xPotentia;4xIgnis;2xPermutatio
Sawmill (Basic),tile.thermalexpansion.machine,2386,2,8xMetallum;2xVitreus;6xMachina;2xPotentia;4xInstrumentum;2xArbor
Pulverizer (Basic),tile.thermalexpansion.machine,2386,1,8xMetallum;2xVitreus;6xMachina;2xPotentia;4xPerditio;2xMotus
Redstone Furnace (Basic),tile.thermalexpansion.machine,2386,0,8xMetallum;2xVitreus;6xMachina;2xPotentia;4xIgnis;2xFabrico
Dimensional Transceiver (Deprecated),tile.blockHyperCube,1897,8,
Dimensional Transceiver (Deprecated),tile.blockHyperCube,1897,15,
Dimensional Transceiver (Deprecated),tile.blockHyperCube,1897,14,
Dimensional Transceiver (Deprecated),tile.blockHyperCube,1897,13,
Dimensional Transceiver (Deprecated),tile.blockHyperCube,1897,12,
Dimensional Transceiver (Deprecated),tile.blockHyperCube,1897,11,
Dimensional Transceiver (Deprecated),tile.blockHyperCube,1897,10,
Dimensional Transceiver (Deprecated),tile.blockHyperCube,1897,9,
Dimensional Transceiver (Deprecated),tile.blockHyperCube,1897,32767,
Dimensional Transceiver (Deprecated),tile.blockHyperCube,1897,7,
Dimensional Transceiver (Deprecated),tile.blockHyperCube,1897,6,
Dimensional Transceiver (Deprecated),tile.blockHyperCube,1897,5,
Dimensional Transceiver (Deprecated),tile.blockHyperCube,1897,4,
Dimensional Transceiver (Deprecated),tile.blockHyperCube,1897,3,
Dimensional Transceiver (Deprecated),tile.blockHyperCube,1897,2,
Dimensional Transceiver (Deprecated),tile.blockHyperCube,1897,1,
Dimensional Transceiver (Deprecated),tile.blockHyperCube,1897,0,
Emerald Ore,tile.oreEmerald,129,0,1xTerra;4xLucrum;3xVitreus
Balanced Shard,item.ItemShard,5079,6,1xPraecantatio;2xAer;1xVitreus;1xIgnis;1xAqua;1xTerra;1xOrdo;1xPerditio
Entropy Shard,item.ItemShard,5079,5,1xPraecantatio;2xPerditio;1xVitreus
Order Shard,item.ItemShard,5079,4,1xPraecantatio;2xOrdo;1xVitreus
Earth Shard,item.ItemShard,5079,3,1xPraecantatio;2xTerra;1xVitreus
Water Shard,item.ItemShard,5079,2,1xPraecantatio;2xAqua;1xVitreus
Fire Shard,item.ItemShard,5079,1,1xPraecantatio;2xIgnis;1xVitreus
Air Shard,item.ItemShard,5079,0,1xPraecantatio;2xAer;1xVitreus
Fiery Tears,item.fieryTears,6149,32767,8xIgnis;8xVictus;4xPraecantatio
Raw Porkchop,item.porkchopRaw,319,32767,3xCorpus;1xVictus;1xBestia
