Name,ID,Has Item,Mod,Class,Display Name
minecraft:pumpkin_stem,104,false,null,net.minecraft.block.BlockStem,null
minecraft:melon_stem,105,false,null,net.minecraft.block.BlockStem,null
minecraft:vine,106,true,minecraft,net.minecraft.block.BlockVine,Vines
minecraft:fence_gate,107,true,minecraft,net.minecraft.block.BlockFenceGate,Fence Gate
minecraft:brick_stairs,108,true,minecraft,net.minecraft.block.BlockStairs,Brick Stairs
minecraft:stone_brick_stairs,109,true,minecraft,net.minecraft.block.BlockStairs,Stone Brick Stairs
minecraft:mycelium,110,true,minecraft,net.minecraft.block.BlockMycelium,Mycelium
minecraft:waterlily,111,true,minecraft,net.minecraft.block.BlockLilyPad,Lily Pad
minecraft:nether_brick,112,true,minecraft,net.minecraft.block.Block,Nether Brick
minecraft:nether_brick_fence,113,true,minecraft,net.minecraft.block.BlockFence,Nether Brick Fence
minecraft:nether_brick_stairs,114,true,minecraft,net.minecraft.block.BlockStairs,Nether Brick Stairs
minecraft:nether_wart,115,false,null,net.minecraft.block.BlockNetherWart,null
minecraft:enchanting_table,116,true,minecraft,net.minecraft.block.BlockEnchantmentTable,Enchantment Table
minecraft:brewing_stand,117,false,null,net.minecraft.block.BlockBrewingStand,null
minecraft:cauldron,118,false,null,net.minecraft.block.BlockCauldron,null
minecraft:end_portal,119,true,minecraft,net.minecraft.block.BlockEndPortal,"Unnamed Block, report to mod author."
minecraft:end_portal_frame,120,true,minecraft,net.minecraft.block.BlockEndPortalFrame,End Portal
minecraft:end_stone,121,true,minecraft,net.minecraft.block.Block,End Stone
minecraft:dragon_egg,122,true,minecraft,net.minecraft.block.BlockDragonEgg,Dragon Egg
minecraft:redstone_lamp,123,true,minecraft,net.minecraft.block.BlockRedstoneLight,Redstone Lamp
minecraft:lit_redstone_lamp,124,false,null,net.minecraft.block.BlockRedstoneLight,null
minecraft:double_wooden_slab,125,true,minecraft,net.minecraft.block.BlockWoodSlab,Oak Wood Slab
minecraft:wooden_slab,126,true,minecraft,net.minecraft.block.BlockWoodSlab,Oak Wood Slab
minecraft:cocoa,127,true,minecraft,net.minecraft.block.BlockCocoa,Cocoa
minecraft:sandstone_stairs,128,true,minecraft,net.minecraft.block.BlockStairs,Sandstone Stairs
minecraft:emerald_ore,129,true,minecraft,net.minecraft.block.BlockOre,Emerald Ore
minecraft:ender_chest,130,true,minecraft,net.minecraft.block.BlockEnderChest,Ender Chest
minecraft:tripwire_hook,131,true,minecraft,net.minecraft.block.BlockTripWireHook,Tripwire Hook
minecraft:tripwire,132,false,null,net.minecraft.block.BlockTripWire,null
minecraft:emerald_block,133,true,minecraft,net.minecraft.block.BlockCompressed,Block of Emerald
minecraft:spruce_stairs,134,true,minecraft,net.minecraft.block.BlockStairs,Spruce Wood Stairs
minecraft:birch_stairs,135,true,minecraft,net.minecraft.block.BlockStairs,Birch Wood Stairs
minecraft:jungle_stairs,136,true,minecraft,net.minecraft.block.BlockStairs,Jungle Wood Stairs
minecraft:command_block,137,true,minecraft,net.minecraft.block.BlockCommandBlock,Command Block
minecraft:beacon,138,true,minecraft,net.minecraft.block.BlockBeacon,Beacon
minecraft:cobblestone_wall,139,true,minecraft,net.minecraft.block.BlockWall,Cobblestone Wall
minecraft:flower_pot,140,false,null,net.minecraft.block.BlockFlowerPot,null
minecraft:carrots,141,true,minecraft,net.minecraft.block.BlockCarrot,Carrots
minecraft:potatoes,142,true,minecraft,net.minecraft.block.BlockPotato,Potatoes
minecraft:wooden_button,143,true,minecraft,net.minecraft.block.BlockButtonWood,Button
minecraft:skull,144,false,null,net.minecraft.block.BlockSkull,null
minecraft:anvil,145,true,minecraft,net.minecraft.block.BlockAnvil,Anvil
minecraft:trapped_chest,146,true,minecraft,net.minecraft.block.BlockChest,Trapped Chest
minecraft:light_weighted_pressure_plate,147,true,minecraft,net.minecraft.block.BlockPressurePlateWeighted,Weighted Pressure Plate (Light)
minecraft:heavy_weighted_pressure_plate,148,true,minecraft,net.minecraft.block.BlockPressurePlateWeighted,Weighted Pressure Plate (Heavy)
minecraft:unpowered_comparator,149,false,null,net.minecraft.block.BlockRedstoneComparator,null
minecraft:powered_comparator,150,false,null,net.minecraft.block.BlockRedstoneComparator,null
minecraft:daylight_detector,151,true,minecraft,net.minecraft.block.BlockDaylightDetector,Daylight Sensor
minecraft:redstone_block,152,true,minecraft,net.minecraft.block.BlockCompressedPowered,Block of Redstone
minecraft:quartz_ore,153,true,minecraft,net.minecraft.block.BlockOre,Nether Quartz Ore
minecraft:hopper,154,true,minecraft,net.minecraft.block.BlockHopper,Hopper
minecraft:quartz_block,155,true,minecraft,net.minecraft.block.BlockQuartz,Block of Quartz
minecraft:quartz_stairs,156,true,minecraft,net.minecraft.block.BlockStairs,Quartz Stairs
minecraft:activator_rail,157,true,minecraft,net.minecraft.block.BlockRailPowered,Activator Track
minecraft:dropper,158,true,minecraft,net.minecraft.block.BlockDropper,Dropper
minecraft:stained_hardened_clay,159,true,minecraft,net.minecraft.block.BlockColored,White Stained Clay
minecraft:stained_glass_pane,160,true,minecraft,net.minecraft.block.BlockStainedGlassPane,White Stained Glass Pane
minecraft:leaves2,161,true,minecraft,net.minecraft.block.BlockNewLeaf,Acacia Leaves
minecraft:log2,162,true,minecraft,net.minecraft.block.BlockNewLog,Acacia Wood
minecraft:acacia_stairs,163,true,minecraft,net.minecraft.block.BlockStairs,Acacia Wood Stairs
minecraft:dark_oak_stairs,164,true,minecraft,net.minecraft.block.BlockStairs,Dark Oak Wood Stairs
divinerpg:rupeeOre,165,true,divinerpg,net.divinerpg.blocks.vanilla.VanillaBlock,Rupee Ore
divinerpg:arlemiteOre,166,true,divinerpg,net.divinerpg.blocks.vanilla.VanillaBlock,Arlemite Ore
divinerpg:realmiteOre,167,true,divinerpg,net.divinerpg.blocks.vanilla.VanillaBlock,Realmite Ore
divinerpg:bloodgemOre,168,true,divinerpg,net.divinerpg.blocks.vanilla.BlockBloodgemOre,Bloodgem Ore
divinerpg:netheriteOre,169,true,divinerpg,net.divinerpg.blocks.vanilla.VanillaBlock,Netherite Ore
minecraft:hay_block,170,true,minecraft,net.minecraft.block.BlockHay,Hay Bale
minecraft:carpet,171,true,minecraft,net.minecraft.block.BlockCarpet,Carpet
minecraft:hardened_clay,172,true,minecraft,net.minecraft.block.BlockHardenedClay,Hardened Clay
minecraft:coal_block,173,true,minecraft,net.minecraft.block.Block,Block of Coal
minecraft:packed_ice,174,true,minecraft,net.minecraft.block.BlockPackedIce,Packed Ice
minecraft:double_plant,175,true,minecraft,net.minecraft.block.BlockDoublePlant,Sunflower
divinerpg:rupeeBlock,176,true,divinerpg,net.divinerpg.blocks.vanilla.VanillaBlock,Rupee Block
divinerpg:arlemiteBlock,177,true,divinerpg,net.divinerpg.blocks.vanilla.VanillaBlock,Arlemite Block
divinerpg:realmiteBlock,178,true,divinerpg,net.divinerpg.blocks.vanilla.VanillaBlock,Realmite Block
divinerpg:bloodgemBlock,179,true,divinerpg,net.divinerpg.blocks.vanilla.VanillaBlock,Bloodgem Block
divinerpg:netheriteBlock,180,true,divinerpg,net.divinerpg.blocks.vanilla.VanillaBlock,Netherite Block
divinerpg:spiderPumpkin,181,true,divinerpg,net.divinerpg.blocks.vanilla.BlockMobPumpkin,Spider Pumpkin
divinerpg:enderPumpkin,182,true,divinerpg,net.divinerpg.blocks.vanilla.BlockMobPumpkin,Ender Pumpkin
divinerpg:creeperPumpkin,183,true,divinerpg,net.divinerpg.blocks.vanilla.BlockMobPumpkin,Creeper Pumpkin
divinerpg:skeletonPumpkin,184,true,divinerpg,net.divinerpg.blocks.vanilla.BlockMobPumpkin,Skeleton Pumpkin
divinerpg:blazePumpkin,185,true,divinerpg,net.divinerpg.blocks.vanilla.BlockMobPumpkin,Blaze Pumpkin
divinerpg:zombiePumpkin,186,true,divinerpg,net.divinerpg.blocks.vanilla.BlockMobPumpkin,Zombie Pumpkin
divinerpg:frostPumpkin,187,true,divinerpg,net.divinerpg.blocks.vanilla.BlockMobPumpkin,Frost Pumpkin
divinerpg:cyclopsPumpkin,188,true,divinerpg,net.divinerpg.blocks.vanilla.BlockMobPumpkin,Cyclops Pumpkin
divinerpg:ghastPumpkin,189,true,divinerpg,net.divinerpg.blocks.vanilla.BlockMobPumpkin,Ghast Pumpkin
divinerpg:glaconPumpkin,190,true,divinerpg,net.divinerpg.blocks.vanilla.BlockMobPumpkin,Glacon Pumpkin
divinerpg:enderWatcherPumpkin,191,true,divinerpg,net.divinerpg.blocks.vanilla.BlockMobPumpkin,Ender Watcher Pumpkin
divinerpg:jungleSpiderPumpkin,192,true,divinerpg,net.divinerpg.blocks.vanilla.BlockMobPumpkin,Jungle Spider Pumpkin
divinerpg:hellspiderPumpkin,193,true,divinerpg,net.divinerpg.blocks.vanilla.BlockMobPumpkin,Hellspider Pumpkin
divinerpg:aquaTorch,194,true,divinerpg,net.divinerpg.blocks.base.BlockModTorch,Aqua Torch
divinerpg:skeletonTorch,195,true,divinerpg,net.divinerpg.blocks.base.BlockModTorch,Skeleton Torch
divinerpg:checker,196,true,divinerpg,net.divinerpg.blocks.vanilla.VanillaBlock,Checker
divinerpg:rainbowWool,197,true,divinerpg,net.divinerpg.blocks.vanilla.VanillaBlock,Rainbow Wool
divinerpg:crate,198,true,divinerpg,net.divinerpg.blocks.vanilla.VanillaBlock,Crate
divinerpg:plankDesign,199,true,divinerpg,net.divinerpg.blocks.vanilla.VanillaBlock,Plank Design
divinerpg:blueStone,200,true,divinerpg,net.divinerpg.blocks.vanilla.VanillaBlock,Blue Stone
divinerpg:blueVane,201,true,divinerpg,net.divinerpg.blocks.vanilla.VanillaBlock,Blue Vane
divinerpg:cyanVane,202,true,divinerpg,net.divinerpg.blocks.vanilla.VanillaBlock,Cyan Vane
divinerpg:purpleVane,203,true,divinerpg,net.divinerpg.blocks.vanilla.VanillaBlock,Purple Vane
divinerpg:redVane,204,true,divinerpg,net.divinerpg.blocks.vanilla.VanillaBlock,Red Vane
divinerpg:yellowVane,205,true,divinerpg,net.divinerpg.blocks.vanilla.VanillaBlock,Yellow Vane
divinerpg:divineRock,206,true,divinerpg,net.divinerpg.blocks.vanilla.VanillaBlock,Divine Rock
divinerpg:Tar,207,true,divinerpg,net.divinerpg.blocks.vanilla.BlockTar,Tar
divinerpg:fancyWool,208,true,divinerpg,net.divinerpg.blocks.vanilla.VanillaBlock,Fancy Wool
divinerpg:steel,209,true,divinerpg,net.divinerpg.blocks.vanilla.BlockSteel,Teal Steel
divinerpg:Bricks,210,true,divinerpg,net.divinerpg.blocks.vanilla.BlockDivineBricks,Aquatonic Bricks
divinerpg:Minibricks,211,true,divinerpg,net.divinerpg.blocks.vanilla.BlockMinibricks,Rupee Minibricks
divinerpg:lamp1,212,true,divinerpg,net.divinerpg.blocks.vanilla.BlockLamp1,Aqua Lamp
divinerpg:lamp2,213,true,divinerpg,net.divinerpg.blocks.vanilla.BlockLamp2,Ice Lamp
divinerpg:milkStone,214,true,divinerpg,net.divinerpg.blocks.vanilla.VanillaBlock,Milk Stone
divinerpg:darkstone,215,true,divinerpg,net.divinerpg.blocks.vanilla.VanillaBlock,Darkstone
divinerpg:spikeBlock,216,true,divinerpg,net.divinerpg.blocks.vanilla.BlockSpike,Spike Block
divinerpg:hotSpikeBlock,217,true,divinerpg,net.divinerpg.blocks.vanilla.BlockHotSpike,Hot Spike Block
divinerpg:slimeLight,218,true,divinerpg,net.divinerpg.blocks.vanilla.BlockSlimeLight,Slime Light
divinerpg:slimeLightOn,219,true,divinerpg,net.divinerpg.blocks.vanilla.BlockSlimeLight,Slime Light
divinerpg:darkBridge,220,true,divinerpg,net.divinerpg.blocks.vanilla.BlockDarkBridge,Dark Bridge
divinerpg:darkBridgeOn,221,true,divinerpg,net.divinerpg.blocks.vanilla.BlockDarkBridge,Dark Bridge
divinerpg:blueFence,222,true,divinerpg,net.divinerpg.blocks.vanilla.BlockLightFence,Blue Fence
divinerpg:redFence,223,true,divinerpg,net.divinerpg.blocks.vanilla.BlockLightFence,Red Fence
divinerpg:greenFence,224,true,divinerpg,net.divinerpg.blocks.vanilla.BlockLightFence,Green Fence
divinerpg:blueFenceOn,225,true,divinerpg,net.divinerpg.blocks.vanilla.BlockLightFence,Blue Fence On
divinerpg:redFenceOn,226,true,divinerpg,net.divinerpg.blocks.vanilla.BlockLightFence,Red Fence On
divinerpg:greenFenceOn,227,true,divinerpg,net.divinerpg.blocks.vanilla.BlockLightFence,Green Fence On
divinerpg:ayeracoBeamBlue,228,true,divinerpg,net.divinerpg.blocks.vanilla.BlockAyeracoBeam,tile.ayeracoBeamBlue.name
divinerpg:ayeracoBeamGreen,229,true,divinerpg,net.divinerpg.blocks.vanilla.BlockAyeracoBeam,tile.ayeracoBeamGreen.name
divinerpg:ayeracoBeamRed,230,true,divinerpg,net.divinerpg.blocks.vanilla.BlockAyeracoBeam,tile.ayeracoBeamRed.name
divinerpg:ayeracoBeamYellow,231,true,divinerpg,net.divinerpg.blocks.vanilla.BlockAyeracoBeam,tile.ayeracoBeamYellow.name
divinerpg:ayeracoBeamPurple,232,true,divinerpg,net.divinerpg.blocks.vanilla.BlockAyeracoBeam,tile.ayeracoBeamPurple.name
divinerpg:ayeracoSpawn,233,true,divinerpg,net.divinerpg.blocks.vanilla.BlockAyeracoSpawn,Ayeraco Spawn
divinerpg:kingOfScorchersStatue,234,true,divinerpg,net.divinerpg.blocks.base.BlockStatue,King of Scorchers Statue
divinerpg:ancientEntityStatue,235,true,divinerpg,net.divinerpg.blocks.base.BlockStatue,Ancient Entity Statue
divinerpg:ayeracoStatue,236,true,divinerpg,net.divinerpg.blocks.base.BlockStatue,Ayeraco Statue
divinerpg:twilightDemonStatue,237,true,divinerpg,net.divinerpg.blocks.base.BlockStatue,Twilight Demon Statue
divinerpg:vamacheronStatue,238,true,divinerpg,net.divinerpg.blocks.base.BlockStatue,Vamacheron Statue
divinerpg:densosStatue,239,true,divinerpg,net.divinerpg.blocks.base.BlockStatue,Densos Statue
divinerpg:reyvorStatue,240,true,divinerpg,net.divinerpg.blocks.base.BlockStatue,Reyvor Statue
divinerpg:dramixStatue,241,true,divinerpg,net.divinerpg.blocks.base.BlockStatue,Dramix Statue
divinerpg:soulFiendStatue,242,true,divinerpg,net.divinerpg.blocks.base.BlockStatue,Soul Fiend Statue
divinerpg:watcherStatue,243,true,divinerpg,net.divinerpg.blocks.base.BlockStatue,Watcher Statue
divinerpg:eternalArcherStatue,244,true,divinerpg,net.divinerpg.blocks.base.BlockStatue,Eternal Archer Statue
divinerpg:karotStatue,245,true,divinerpg,net.divinerpg.blocks.base.BlockStatue,Karot Statue
divinerpg:tomatoPlant,246,true,divinerpg,net.divinerpg.blocks.vanilla.BlockTomato,Tomato Plant
divinerpg:mushroomPlant,247,true,divinerpg,net.divinerpg.blocks.vanilla.BlockMushroom,Mushroom Plant
divinerpg:divineLog,248,true,divinerpg,net.divinerpg.blocks.base.BlockModLog,Divine Log
divinerpg:divineLeaves,249,true,divinerpg,net.divinerpg.blocks.base.BlockModLeaves,Divine Leaves
divinerpg:divineMossStone,250,true,divinerpg,net.divinerpg.blocks.base.BlockMod,Divine Moss Stone
divinerpg:enthralledDramcryxSpawner,251,true,divinerpg,net.divinerpg.blocks.base.BlockStupidSpawner,Enthralled Dramcryx Spawner
divinerpg:rotatickSpawner,252,true,divinerpg,net.divinerpg.blocks.base.BlockStupidSpawner,Rotatick Spawner
divinerpg:divinePlanks,253,true,divinerpg,net.divinerpg.blocks.base.BlockMod,Divine Planks
divinerpg:divineStairs,254,true,divinerpg,net.divinerpg.blocks.base.BlockModStairs,Divine Stairs
divinerpg:altarOfCorruption,255,true,divinerpg,net.divinerpg.blocks.vanilla.BlockAltarOfCorruption,Altar of Corruption
divinerpg:boneChest,409,true,divinerpg,net.divinerpg.blocks.vanilla.BlockBoneChest,Bone Chest
divinerpg:frozenDirt,410,true,divinerpg,net.divinerpg.blocks.base.BlockMod,Frozen Dirt
divinerpg:frozenGrass,411,true,divinerpg,net.divinerpg.blocks.base.BlockModGrass,Frozen Grass
divinerpg:frozenStone,412,true,divinerpg,net.divinerpg.blocks.base.BlockMod,Frozen Stone
divinerpg:frozenLog,413,true,divinerpg,net.divinerpg.blocks.base.BlockModLog,Frozen Log
divinerpg:brittleLeaves,414,true,divinerpg,net.divinerpg.blocks.base.BlockModLeaves,Brittle Leaves
divinerpg:frozenPlanks,415,true,divinerpg,net.divinerpg.blocks.base.BlockMod,Frozen Planks
divinerpg:frozenStairs,416,true,divinerpg,net.divinerpg.blocks.base.BlockModStairs,Frozen Stairs
divinerpg:winterberryBush,423,true,divinerpg,net.divinerpg.blocks.iceika.BlockWinterberryBush,Winterberry Bush
divinerpg:ripeWinterberryBush,424,true,divinerpg,net.divinerpg.blocks.iceika.BlockWinterberryBush,Ripe Winterberry Bush
divinerpg:icyStone,425,true,divinerpg,net.divinerpg.blocks.base.BlockMod,Icy Stone
divinerpg:icyBricks,426,true,divinerpg,net.divinerpg.blocks.base.BlockMod,Icy Bricks
divinerpg:frostedChest,427,true,divinerpg,net.divinerpg.blocks.iceika.BlockFrostedChest,Frosted Chest
divinerpg:decorativeFrostedChest,428,true,divinerpg,net.divinerpg.blocks.iceika.BlockFrostedChest,Decorative Frosted Chest
divinerpg:rollumSpawner,429,true,divinerpg,net.divinerpg.blocks.base.BlockModSpawner,Rollum Spawner
divinerpg:frostArcherSpawner,430,true,divinerpg,net.divinerpg.blocks.base.BlockModSpawner,Frost Archer Spawner
divinerpg:snowBricks,431,true,divinerpg,net.divinerpg.blocks.base.BlockMod,Snow Bricks
divinerpg:coalstone,432,true,divinerpg,net.divinerpg.blocks.base.BlockMod,Coalstone
divinerpg:coalstoneStairs,433,true,divinerpg,net.divinerpg.blocks.base.BlockModStairs,Coalstone Stairs
divinerpg:workshopCarpet,434,true,divinerpg,net.divinerpg.blocks.base.BlockMod,Workshop Carpet
divinerpg:frostedGlass,435,true,divinerpg,net.divinerpg.blocks.base.BlockModGlass,Frosted Glass
divinerpg:workshopBookcase,436,true,divinerpg,net.divinerpg.blocks.base.BlockModBook,Workshop Bookcase
divinerpg:workshopLamp,437,true,divinerpg,net.divinerpg.blocks.base.BlockMod,Workshop Lamp
divinerpg:steelDoorBlock,438,true,divinerpg,net.divinerpg.blocks.base.BlockModDoor,Steel Door Block
divinerpg:coalstoneFurnace,439,true,divinerpg,net.divinerpg.blocks.iceika.BlockCoalstoneFurnace,Coalstone Furnace
divinerpg:coalstoneFurnaceActive,440,true,divinerpg,net.divinerpg.blocks.iceika.BlockCoalstoneFurnace,Coalstone Furnace Active
divinerpg:redChristmasLights,441,true,divinerpg,net.divinerpg.blocks.iceika.BlockXmasLights,Red Christmas Lights
divinerpg:greenChristmasLights,442,true,divinerpg,net.divinerpg.blocks.iceika.BlockXmasLights,Green Christmas Lights
divinerpg:blueChristmasLights,443,true,divinerpg,net.divinerpg.blocks.iceika.BlockXmasLights,Blue Christmas Lights
divinerpg:yellowChristmasLights,444,true,divinerpg,net.divinerpg.blocks.iceika.BlockXmasLights,Yellow Christmas Lights
